E,r
0.0,50.0
0.0,50.00999900019995
0.0,50.039984012787215
0.0,50.08991914547278
0.0,50.15974481593781
0.0,50.24937810560445
0.0,50.35871324805669
0.0,50.48762224545735
0.0,50.635955604688654
0.0,50.80354318352215
0.0,50.99019513592785
0.0,51.19570294468082
0.0,51.419840528729765
0.0,51.66236541235796
0.0,51.92301994298868
0.0,52.20153254455275
0.0,52.49761899362675
0.0,52.81098370604357
0.0,53.14132102234569
0.0,53.48831648126533
0.0,53.85164807134504
0.0,54.230987451824994
0.0,54.62600113499065
0.0,55.036351623268054
0.0,55.46169849544819
0.0,55.90169943749474
0.0,56.356011214421486
0.0,56.824290580701486
0.0,57.30619512757761
0.0,57.8013840664737
0.0,58.309518948453004
0.0,58.83026432033091
0.0,59.36328831862332
0.0,59.90826320300064
0.0,60.4648658313239
0.0,61.032778078668514
0.0,61.61168720299745
0.0,62.20128616033595
0.0,62.80127387243033
0.0,63.41135544995076
0.0,64.03124237432849
0.0,64.66065264130884
0.0,65.29931086925804
0.0,65.94694837519019
0.0,66.60330322138685
0.0,67.26812023536856
0.0,67.94115100585212
0.0,68.62215385719105
0.0,69.31089380465383
0.0,70.00714249274856
0.0,70.71067811865476
0.0,71.42128534267638
0.0,72.13875518748573
0.0,72.86288492778748
0.0,73.59347797189639
0.0,74.33034373659252
0.0,75.07329751649384
0.0,75.82216034906945
0.0,76.57675887630658
0.0,77.33692520394123
0.0,78.10249675906654
0.0,78.87331614684399
0.0,79.64923100695951
0.0,80.43009387039157
0.0,81.21576201698781
0.0,82.00609733428362
0.0,82.80096617793781
0.0,83.60023923410746
0.0,84.40379138403677
0.0,85.21150157109074
0.0,86.02325267042627
0.0,86.83893136145792
0.0,87.65842800324451
0.0,88.48163651289458
0.0,89.30845424706443
0.0,90.13878188659973
0.0,90.97252332435328
0.0,91.80958555619343
0.0,92.64987857520376
0.0,93.49331526906082
0.0,94.33981132056604
0.0,95.1892851112981
0.0,96.04165762834376
0.0,96.89685237405806
0.0,97.75479527879949
0.0,98.6154146165801
0.0,99.4786409235671
0.0,100.34440691936945
0.0,101.21264743103995
0.0,102.08329931972223
0.0,102.95630140987001
0.0,103.83159442096611
0.0,104.70912090166739
0.0,105.58882516630251
0.0,106.47065323364932
0.0,107.35455276791944
0.0,108.24047302187847
0.0,109.12836478203089
0.0,110.01818031580054
0.0,110.90987332063814
0.0,50.00999900019995
0.0004480096471163632,50.0199960015992
0.0008936878755377613,50.049975024968795
0.0013411911015671196,50.0999001995014
0.0017817477059537843,50.16971197844373
0.0022259090700210414,50.25932749251625
0.0026586503489180817,50.368641037852115
0.003096686287953402,50.49752469181039
0.003519061072816859,50.6458290484024
0.003948287139157596,50.813384063650005
0.004357928419464789,51.0
0.004775802693572603,51.20546845796843
0.0051705634528381094,51.42956348249516
0.005574724717235841,51.67204273105525
0.005952706829255114,51.93264869039514
0.006341006317257313,52.21110992882645
0.006700581630773899,52.507142371300304
0.007071107437383553,52.820450584977024
0.007410930486894392,53.150729063673246
0.00776202403585506,53.49766350038102
0.008081036141634511,53.86093203798092
0.008411300427311872,54.24020648928247
0.008708725273966515,54.63515351859094
0.00901702492436083,55.04543577809154
0.009292356019999067,55.47071299343465
0.009577809543096406,55.910642993977454
0.009830790247590395,56.36488268416781
0.010092755113997333,56.83308895353129
0.010323352173919909,57.3149195236284
0.0105614036426944,57.810033731178535
0.010769775373866933,58.31809324729333
0.01098368017639105,58.8387627334226
0.011170140586823439,59.371710435189584
0.011359826738858124,59.91660871578097
0.01152480698224439,60.473134530963414
0.011690331093197325,61.04096984812741
0.01183433968583905,61.61980201201558
0.011975853175866046,62.20932405998316
0.012099436400273748,62.80923498976882
0.012217152021974174,63.419239982831705
0.012320855883021863,64.03905058634146
0.012415015879512237,64.66838485689897
0.012499350880256934,65.30696746902278
0.012570198001691875,65.95452979136459
0.012635607873387572,66.61080993352356
0.012683360327359089,67.27555276621665
0.012730195689859206,67.94850991743675
0.012755026926045158,68.62943974709395
0.012783524678482318,69.31810730249349
0.012785548712796739,70.01428425685718
0.012795817766901916,70.71774883294857
0.012775080542692573,71.42828571371429
0.012767094317507575,72.14568594171102
0.012723571387091327,72.86974680894672
0.012697167287432065,73.60027173862879
0.012630767880911914,74.3370701601832
0.012585653784397676,75.07995737878386
0.012496231117412646,75.82875444051551
0.012431998696807015,76.58328799418317
0.01231936615710783,77.34339015067803
0.012235510666627652,78.10889834071403
0.012099463313792675,78.87965517166008
0.011995409271295327,79.65550828411052
0.011835749888070715,80.43631020876082
0.011710881892597036,81.2219182240853
0.011527450645218063,82.0121942152507
0.011381148386179733,82.80700453464067
0.011173854990986701,83.60621986431393
0.011005531338114749,84.40971508067067
0.010774388500242515,85.21736912155878
0.01058352942034696,86.02906485601247
0.010328686215027302,86.84468895678077
0.010114891151278414,87.66413177577246
0.009836664966675015,88.48728722251576
0.009599686246784396,89.31405264570633
0.009298591905346888,90.1443287178955
0.009038371723818037,90.97801932335085
0.008715146451030267,91.81503144910424
0.008431850002826737,92.65527507918802
0.00808747301965252,93.4986630920464
0.0077815164510842555,94.34511116109833
0.0074172221283802615,95.1945376584182
0.0070892941158944706,96.04686356149273
0.006706577841718856,96.90201236300514
0.006357653807838946,97.75990998359194
0.005958269975284346,98.62048468751307
0.005589618197453661,99.48366700117161
0.005175570012103051,100.34938963441681
0.00478874916611923,101.21758740456127
0.004362270286915037,102.08819716304133
0.003959118280919375,102.96115772464877
0.003522646632813032,103.83640979926068
0.0031052609173044007,104.71389592599446
0.002661405334018881,105.59356040971439
0.002232115203544996,106.47534925981694
0.0017836158592258102,107.35921013122255
0.0013449475770555936,108.2450922675019
0.0008946314320026558,109.13294644606641
0.0004492672951838989,110.02272492535349
0.0,110.91438139393827
0.0,50.039984012787215
0.000893684487472186,50.049975024968795
0.0017891993925444403,50.07993610219566
0.002675417509173763,50.12983143797713
0.00356708162105002,50.19960159204453
0.00444034192331437,50.28916384272063
0.0053225286345085195,50.39841267341661
0.006177579421539628,50.52722038663912
0.007044813776578393,50.67543783727971
0.007876731048991645,50.84289527554464
0.008723780695716932,51.02940328869229
0.009528045878385367,51.234753829797995
0.010350002911187471,51.45872132107443
0.011122567793080879,51.70106381884226
0.011914918876846288,51.96152422706632
0.012652255737203001,52.23983154643591
0.01341093840484165,52.53570214625479
0.014110073886448778,52.848841046895245
0.014831517486443993,53.178943201233324
0.015490049414956788,53.52569476429054
0.016171199820009127,53.88877434122992
0.01678729682307489,54.26785420486054
0.017425624666528115,54.662601474865795
0.017998009088514958,55.072679252057455
0.018591501941896557,55.49774770204643
0.019119417151871335,55.937465083787984
0.019666556666288516,56.39148871948674
0.02014972039459453,56.859475903318
0.020649445975725496,57.3410847473258
0.021087991768618558,57.83597496368502
0.021539652818662793,58.34380858325929
0.021934062056693977,58.86425061104575
0.022337361180946452,59.39696961966999
0.022688388356382688,59.941638282582836
0.023043318186652787,60.4979338490167
0.023351912275021643,61.065538563088104
0.023658688702235846,61.644140029689765
0.02392591349521342,62.23343153000644
0.024184908130186093,62.83311228962003
0.024411864328491826,63.4428877022476
0.024623538929273506,64.06246951218786
0.024811290636052117,64.69157595854347
0.024976136063325452,65.3299318842443
0.025125644084811143,65.97726881282674
0.025244126087927657,66.63332499583073
0.025356190154905284,67.29784543356496
0.025428703966964793,67.97058187186572
0.02550391565383329,68.65129277733959
0.025530751001902108,69.33974329343886
0.025569458754841498,70.03570517957252
0.02555077648710345,70.73895673530957
0.025553063791041334,71.449282711585
0.02548888490003946,72.16647421067486
0.025454562224270682,72.89032857656768
0.025344769614880313,73.62064927722385
0.02527338038407045,74.35724578008521
0.02511773330380025,75.09993342207434
0.025008573746601676,75.8485332752058
0.024806734369485148,76.60287200882223
0.02465888670178946,77.36278174936577
0.024410457940210673,78.12809993849844
0.024222835945611868,78.8986691902975
0.023927409162791027,79.67433714816836
0.02369881484320888,80.45495634204272
0.023356025761135598,81.24038404635961
0.023085215353596474,82.03048213926333
0.02269480610833956,82.82511696339462
0.022380563411486643,83.62415918859813
0.021942448414067565,84.42748367682174
0.021583663055225837,85.23496934944014
0.021097996087153747,86.04649905719582
0.020693744104763146,86.86195945291587
0.020160983928333442,87.68124086713189
0.019710607862510575,88.50423718670197
0.01913157957072824,89.33084573650918
0.018634765162269504,90.160967164289
0.01801071454215736,90.9945053286186
0.01746756114999752,91.8313671900838
0.016800199492034488,92.67146270562476
0.01621128145925905,93.5147047260483
0.015502818515500607,94.36100889668359
0.014869234947548148,95.2102935611481
0.014122398116733768,96.06247966818262
0.013445808879796246,96.91749068150702
0.012663847168884282,97.77525249264254
0.011946493363193556,98.63569333664158
0.011133165225271392,99.498743710662
0.01037787292262045,100.36433629531956
0.009537417680086547,101.23240587875011
0.008747584317866704,102.10288928331069
0.007884677522154361,102.975725294848
0.007064240993078324,103.85085459446157
0.006183934720001116,104.72821969268837
0.005337325859699242,105.60776486603625
0.004444975563166906,106.4894360957931
0.003577055387054055,107.37318100903968
0.0026782355038381654,108.25894882179486
0.0017942191496320276,109.14669028422254
0.0008946301361212177,110.03635762783135
0.0,110.92790451459904
0.0,50.08991914547278
0.0013411923735369652,50.0999001995014
0.0026754006094063553,50.12983143797713
0.004015081870217123,50.17967716117751
0.005333953245441979,50.24937810560445
0.006663635397067945,50.33885179461288
0.007959106019189045,50.44799302251776
0.009270456434155938,50.57667446560717
0.010534889046467105,50.724747411889595
0.011819871865136259,50.89204259999789
0.013046180472428186,51.07837115648854
0.014297186545171883,51.28352561983234
0.015478943711893246,51.507281038703645
0.01668890485238662,51.749396131742444
0.017820428226910056,52.009614495783374
0.01898291222553478,52.28766584960549
0.02005932767892341,52.583267300539625
0.021168611345154548,52.896124621752776
0.022185891039395816,53.225933528685054
0.02323700946016269,53.5723809439155
0.024191984135005482,53.9351462406472
0.025180755308247402,54.31390245600108
0.026071101052720425,54.70831746635972
0.026994126036442648,55.11805511808268
0.027818326747979603,55.54277630799526
0.02867296641117031,55.98214000911362
0.029430254003338274,56.43580423808985
0.030214584335868988,56.90342696182718
0.030904859502289644,57.38466694161429
0.031617608201626124,57.879184513951124
0.03224134515337259,58.38664230798
0.03288181282874608,58.90670590009256
0.033439951877921044,59.43904440685432
0.03400792167765036,59.983331017875294
0.03450175383197298,60.53924347066124
0.034997393595446215,61.106464469808756
0.035428441456659965,61.68468205316454
0.0358522026162209,62.27358990776106
0.03622210184581288,62.8728876384726
0.03657461926088063,63.48228099241551
0.03688500470358934,64.10148204214939
0.03716700141274593,64.73020933072904
0.03741940167075095,65.36818798161687
0.03763160221654103,66.01514977639603
0.03782734606800825,66.67083320313314
0.037970401607597216,67.3349834781297
0.038110539187012446,68.00735254367721
0.03818496707563733,68.68769904429759
0.03827020820397806,69.3757882838098
0.03827634815291927,70.07139216541941
0.03830701964391934,70.77428911688199
0.0382450079333103,71.48426400264607
0.038221031123553094,72.20110802473879
0.038090793710932026,72.92461861401813
0.03801168287604902,73.65459931328118
0.03781294759719017,74.39085965358916
0.037677829328489364,75.13321502504735
0.037410156746492916,75.8814865431615
0.0372178097729884,76.6355009117837
0.036880641601446544,77.3950902835574
0.03662955595220745,78.16009211867653
0.03622227936563922,78.93034904268447
0.0359107331800651,79.7057087039567
0.03543275873991945,80.48602363143554
0.03505891045759962,81.27115109311545
0.03450976083971085,82.06095295571457
0.03407175395182747,82.85529554590944
0.033451160180657157,83.65404951345751
0.032947237222162785,84.45708969648433
0.032255238721229096,85.26429498916883
0.03168386075206909,86.07554821202127
0.030920905232530244,86.89073598491383
0.030280872723347466,87.70974860299168
0.029447911776171346,88.53247991556545
0.028738482604401008,89.35882720806042
0.02783705885435707,90.18869108707588
0.02705805905187873,91.02197536858887
