phi,E,r
0.0,0.0,70.71067811865476
0.0,1.3021203043903849e-05,70.00714249274856
0.0,2.6039087569847575e-05,69.31089380465383
0.0,3.9018815494141404e-05,68.62215385719105
0.0,5.198856716193134e-05,67.94115100585212
0.0,6.488207879322861e-05,67.26812023536856
0.0,7.775889364893306e-05,66.60330322138685
0.0,9.052152977941928e-05,65.94694837519019
0.0,0.00010326064183630192,65.29931086925804
0.0,0.0001158478498235444,64.66065264130884
0.0,0.00012840455278948526,64.03124237432849
0.0,0.0001407719043028784,63.41135544995076
0.0,0.00015310156600481606,62.80127387243033
0.0,0.00016520476707247155,62.20128616033595
0.0,0.00017726283644996783,61.61168720299745
0.0,0.00018905773049902183,61.032778078668514
0.0,0.00020079973879858786,60.4648658313239
0.0,0.00021224230535784154,59.90826320300064
0.0,0.0002236238653461275,59.36328831862332
0.0,0.0002346702194618713,58.83026432033091
0.0,0.00024564702903255505,58.309518948453004
0.0,0.00025625342914739147,57.8013840664737
0.0,0.0002667812884956183,57.30619512757761
0.0,0.00027690416338256693,56.824290580701486
0.0,0.0002869390177369421,56.356011214421486
0.0,0.0002965350257852519,55.90169943749474
0.0,0.00030603304817859787,55.46169849544819
0.0,0.00031505918448994553,55.036351623268054
0.0,0.00032397691475292935,54.62600113499065
0.0,0.0003323906826092973,54.230987451824994
0.0,0.0003406852391234154,53.85164807134504
0.0,0.0003484449018394213,53.48831648126533
0.0,0.00035607428098767676,53.14132102234569
0.0,0.00036313920737861765,52.81098370604357
0.0,0.00037006268155232385,52.49761899362675
0.0,0.0003763937927916858,52.20153254455275
0.0,0.00038257241093680983,51.92301994298868
0.0,0.0003881327283031765,51.66236541235796
0.0,0.00039352991339517204,51.419840528729765
0.0,0.00039828519564912446,51.19570294468082
0.0,0.0004028674217888705,50.99019513592785
0.0,0.0004067868686001193,50.80354318352215
0.0,0.00041052438786156616,50.635955604688654
0.0,0.00041358137335861106,50.48762224545735
0.0,0.0004164489508854613,50.35871324805669
0.0,0.00041862174102040524,50.24937810560445
0.0,0.00042059934827950177,50.15974481593781
0.0,0.00042187174942005215,50.08991914547278
0.0,0.0004229451620010757,50.039984012787215
0.0,0.00042330704777766777,50.00999900019995
0.0,0.0004234682971214114,50.0
0.0,0.00042291596703280756,50.00999900019995
0.0,0.00042216360536334396,50.039984012787215
0.0,0.00042069994172820287,50.08991914547278
0.0,0.0004190390953379135,50.15974481593781
0.0,0.0004166735032990018,50.24937810560445
0.0,0.00041411570902281843,50.35871324805669
0.0,0.00041086384480842767,50.48762224545735
0.0,0.000407426685019575,50.635955604688654
0.0,0.00040330999735658715,50.80354318352215
0.0,0.0003990165669339509,50.99019513592785
0.0,0.0003940616923836862,51.19570294468082
0.0,0.0003889399441843726,51.419840528729765
0.0,0.0003831780070689788,51.66236541235796
0.0,0.000377260028915084,51.92301994298868
0.0,0.00037072589949903783,52.20153254455275
0.0,0.00036404717530441334,52.49761899362675
0.0,0.0003567787363823816,52.81098370604357
0.0,0.00034937743776637984,53.14132102234569
0.0,0.00034141490122444176,53.48831648126533
0.0,0.0003333312455828094,53.85164807134504
0.0,0.00032471654887291485,54.230987451824994
0.0,0.00031599224753207504,54.62600113499065
0.0,0.0003067685474445412,55.036351623268054
0.0,0.000297446355210447,55.46169849544819
0.0,0.0002876576246407729,55.90169943749474
0.0,0.00027778099130083253,56.356011214421486
0.0,0.00026747171512134417,56.824290580701486
0.0,0.0002570845311921424,57.30619512757761
0.0,0.0002462994904735186,57.8013840664737
0.0,0.0002354459140389192,58.309518948453004
0.0,0.00022423004379703624,58.83026432033091
0.0,0.0002129543925102632,59.36328831862332
0.0,0.0002013526965663787,59.90826320300064
0.0,0.00018969938835241618,60.4648658313239
0.0,0.0001777568952577603,61.032778078668514
0.0,0.0001657704223663905,61.61168720299745
0.0,0.00015353216805488872,62.20128616033595
0.0,0.0001412570912873196,62.80127387243033
0.0,0.0001287681166189607,63.41135544995076
0.0,0.00011624906926296792,64.03124237432849
0.0,0.00010355442343999504,64.66065264130884
0.0,9.083611729398095e-05,65.29931086925804
0.0,7.798086092792497e-05,65.94694837519019
0.0,6.51080894883314e-05,66.60330322138685
0.0,5.2137293639196e-05,67.26812023536856
0.0,3.91549298906241e-05,67.94115100585212
0.0,2.6113669557612894e-05,68.62215385719105
0.0,1.3066657746507108e-05,69.31089380465383
0.0,0.0,70.00714249274856
0.0,1.3021203043903849e-05,70.00714249274856
1.3021203043903849e-05,1.841241671957014e-05,69.29646455628166
2.6039087569847575e-05,2.9086262253002405e-05,68.59300255857006
3.9018815494141404e-05,4.111479769888906e-05,67.89698078707183
5.198856716193134e-05,5.35358641343918e-05,67.20863039818622
6.488207879322861e-05,6.614120607317692e-05,66.52818951391959
7.775889364893306e-05,7.875264936254812e-05,65.85590330410783
9.052152977941928e-05,9.140416374039145e-05,65.19202405202648
0.00010326064183630192,0.0001039597892013607,64.53681120105021
0.0001158478498235444,0.0001165142373917216,63.89053137985315
0.00012840455278948526,0.00012891554817265365,63.25345840347388
0.0001407719043028784,0.00014129624260780284,62.625873247404705
0.00015310156600481606,0.00015347862665648874,62.00806399170998
0.00016520476707247155,0.00016562759040418553,61.40032573203501
0.00017726283644996783,0.00017753758925100643,60.802960454241045
0.00018905773049902183,0.00018940377027825276,60.21627686929839
0.00020079973879858786,0.00020099251218370795,59.64059020499378
0.00021224230535784154,0.00021252792667523853,59.07622195096772
0.0002236238653461275,0.00022374874821488075,58.52349955359813
0.0002346702194618713,0.0002349069642009167,57.982756057296896
0.00024564702903255505,0.00024571440935508717,57.4543296888929
0.00025625342914739147,0.00025644987560950874,56.938563381947034
0.0002667812884956183,0.00026679923728569274,56.43580423808985
0.00027690416338256693,0.000277066974871474,55.94640292279746
0.0002869390177369421,0.0002869140913822927,55.47071299343465
0.0002965350257852519,0.000296669574152319,55.00909015790027
0.00030603304817859787,0.00030597077477740025,54.56189146281496
0.00031505918448994553,0.00031516993523302624,54.12947441089743
0.00032397691475292935,0.00032388209781506735,53.71219600798314
0.0003323906826092973,0.00033248143851553126,53.31041174104736
0.0003406852391234154,0.0003405621502602207,52.92447448959697
0.0003484449018394213,0.0003485189589355305,52.55473337388365
0.00035607428098767676,0.0003559267825549353,52.20153254455275
0.00036313920737861765,0.00036319945493769773,51.86520991955976
0.00037006268155232385,0.0003698943042547989,51.54609587543949
0.0003763937927916858,0.000376442777466721,51.24451190127583
0.00038257241093680983,0.0003823864027876771,50.96076922496363
0.0003881327283031765,0.0003881726960357512,50.695167422546305
0.00039352991339517204,0.000393329271582386,50.44799302251776
0.00039828519564912446,0.0003983181212817301,50.21951811795888
0.0004028674217888705,0.0004026549160707177,50.00999900019995
0.0004067868686001193,0.00040681448072303,49.8196748283246
0.00041052438786156616,0.00041030258206267516,49.64876634922564
0.00041358137335861106,0.0004136051800703857,49.49747468305833
0.0004164489508854613,0.0004162202273125645,49.36598018878993
0.00041862174102040524,0.0004186430605537451,49.25444142409901
0.00042059934827950177,0.00042036593813618865,49.16299421312742
0.00042187174942005215,0.00042189174781120237,49.09175083453431
0.0004229451620010757,0.00042270918308462375,49.040799340956916
0.00042330704777766777,0.0004233267839600211,49.01020301937138
0.0004234682971214114,0.0004232317983318089,49.0
0.00042291596703280756,0.00042293644407511897,49.01020301937138
0.00042216360536334396,0.00042192861605068195,49.040799340956916
0.00042069994172820287,0.00042072216164595064,49.09175083453431
0.0004190390953379135,0.0004188076764951175,49.16299421312742
0.0004166735032990018,0.0004166985221637108,49.25444142409901
0.00041411570902281843,0.00041389000298096626,49.36598018878993
0.00041086384480842767,0.0004108928248980274,49.49747468305833
0.000407426685019575,0.0004072089606941849,49.64876634922564
0.00040330999735658715,0.00040334425383318584,49.8196748283246
0.0003990165669339509,0.00039880925873744214,50.00999900019995
0.0003940616923836862,0.0003941027333264414,50.21951811795888
0.0003889399441843726,0.00038874568428533355,50.44799302251776
0.0003831780070689788,0.00038322756741845595,50.695167422546305
0.000377260028915084,0.00037708167436445656,50.96076922496363
0.00037072589949903783,0.0003707859713683784,51.24451190127583
0.00036404717530441334,0.00036388783347387333,51.54609587543949
0.0003567787363823816,0.00035685160012106963,51.86520991955976
0.00034937743776637984,0.00034924049548508364,52.20153254455275
0.00034141490122444176,0.0003415031635987884,52.55473337388365
0.0003333312455828094,0.0003332204094343496,52.92447448959697
0.00032471654887291485,0.000324823196992851,53.31041174104736
0.00031599224753207504,0.00031591160536359946,53.71219600798314
0.0003067685474445412,0.0003068970301664636,54.12947441089743
0.000297446355210447,0.0002974004727649053,54.56189146281496
0.0002876576246407729,0.0002878119781319619,55.00909015790027
0.00027778099130083253,0.00027777506438771333,55.47071299343465
0.00026747171512134417,0.0002676567579525464,55.94640292279746
0.0002570845311921424,0.0002571246255323426,56.43580423808985
0.0002462994904735186,0.0002465211296058522,56.938563381947034
0.0002354459140389192,0.00023553934696455073,57.4543296888929
0.00022423004379703624,0.00022449576355110763,57.982756057296896
0.0002129543925102632,0.00021311035399580763,58.52349955359813
0.0002013526965663787,0.00020167236455321058,59.07622195096772
0.00018969938835241618,0.00018992998864966198,59.64059020499378
0.0001777568952577603,0.00017814415194284717,60.21627686929839
0.0001657704223663905,0.0001660925534368432,60.802960454241045
0.00015353216805488872,0.00015400697498737883,61.40032573203501
0.0001412570912873196,0.0001416959770241799,62.00806399170998
0.0001287681166189607,0.00012936183376336646,62.625873247404705
0.00011624906926296792,0.00011684572074562742,63.25345840347388
0.00010355442343999504,0.00010432114123600926,63.89053137985315
9.083611729398095e-05,9.166524174552111e-05,64.53681120105021
7.798086092792497e-05,7.902715311045764e-05,65.19202405202648
6.51080894883314e-05,6.633062539680285e-05,65.85590330410783
5.2137293639196e-05,5.372280471486881e-05,66.52818951391959
3.91549298906241e-05,4.123272294729615e-05,67.20863039818622
2.6113669557612894e-05,2.918790761869304e-05,67.89698078707183
1.3066657746507108e-05,1.8465222210779793e-05,68.59300255857006
0.0,1.3066657746507108e-05,69.29646455628166
0.0,2.6039088381184576e-05,69.31089380465383
2.6039088381184576e-05,2.9086263304125847e-05,68.59300255857006
5.204004365074789e-05,3.6761543948869314e-05,67.88225099390856
7.802774825789456e-05,4.6793583327636754e-05,67.17886572427373
0.00010390112690092806,5.798534075373206e-05,66.48308055437865
0.00012974792118088357,6.970255401774022e-05,65.79513659838392
0.00015540441511743692,8.174999793019674e-05,65.11528238439882
0.00018102082221634516,9.389199436239756e-05,64.4437739428721
0.00020637131344350575,0.00010615051093508595,63.7808748764079
0.0002316679558447736,0.00011835022942559325,63.12685640834652
0.00025662355884824387,0.0001305888492212346,62.48199740725323
0.0002815111942673783,0.0001426871178986111,61.84658438426491
0.00030598328318137333,0.00015478716413156658,61.220911460055866
0.00033037282491427627,0.00016668970928317384,60.60528029800704
0.000354273045049643,0.00017857188149611035,60.0
0.0003780755680536825,0.00019020956773794517,59.405386961116584
0.000401315834938719,0.00020181109996010853,58.82176467941097
0.000424442572892102,0.00021312614532728862,58.249463516842795
0.0004469350663625056,0.00022439217967191828,57.688820407423826
0.00046929740974195307,0.0002353325525279467,57.14017850864661
0.0004909545757691313,0.0002462124080889593,56.60388679233962
0.0005124640864374967,0.00025672927048009495,56.08029957123981
0.0005331986650488242,0.0002671746658158367,55.569775957799216
0.000553767128611954,0.00027722111296670947,55.072679252057455
0.0005734922319869433,0.0002871852721935367,54.589376255824725
0.0005930317747020067,0.0002967156955407601,54.120236510939236
0.0006116610446410489,0.0003061529081037552,53.665631459994955
0.0006300843461266686,0.0003151227019278863,53.225933528685054
0.0006475322236501766,0.00032398815267680906,52.80151512977634
0.0006647528590144744,0.00033235364319731206,52.392747589718944
0.0006809349997179845,0.00034060343318933817,52.0
0.0006968679437774823,0.00034832197785717806,51.62363799656123
0.000711701809512643,0.000355913301961083,51.264022471905186
0.0007262641303232988,0.0003629435366986456,50.92150822589606
0.0007396697796922185,0.00036983500298991707,50.59644256269407
0.0007527815377228693,0.00037613722604421814,50.28916384272063
0.0007646826240907254,0.0003822893068162703,50.0
0.0007762679767128342,0.0003878259880672067,49.72926703662542
0.0007865929430714656,0.00039320158875336104,49.47726750741192
0.0007965814322467112,0.00039793798689609995,49.24428900898052
0.0008052648685158959,0.00040250311052935083,49.03060268852505
0.000813592844481588,0.000406407970286292,48.83646178829912
0.0008205769472058111,0.00041013244387076096,48.662100242385755
0.0008271890556966204,0.00041317873379760416,48.507731342539614
0.0008324251062396404,0.00041603695168027674,48.373546489791295
0.0008372757454264262,0.00041820259282577274,48.25971404805462
0.0008407255050272142,0.0004201742234771936,48.16637831516918
0.0008437801452917025,0.00042144275272651627,48.093658625644196
0.0008454170579183994,0.0004225133516998592,48.041648597857254
0.0008466533165494722,0.00042287446323485575,48.010415536631214
0.0008464634163781099,0.000423035938221905,48.0
0.0008458717923018962,0.0004224858533799459,48.010415536631214
0.0008438542327039805,0.000421736737789221,48.041648597857254
0.0008414384329733213,0.00042027836754666726,48.093658625644196
0.0008376055862628863,0.0004186238759914928,48.16637831516918
0.0008333824130170751,0.00041626675969887373,48.25971404805462
0.0008277595304352854,0.00041371861989180465,48.373546489791295
0.0008217583389315233,0.0004104786458812327,48.507731342539614
0.0008143828022419052,0.00040705472342581313,48.662100242385755
0.0008066445807840754,0.0004029536582310853,48.83646178829912
0.0007975648138423075,0.0003986774102172908,49.03060268852505
0.0007881409687971225,0.00039374228013556436,49.24428900898052
0.0007774151040793043,0.0003886420874208068,49.47726750741192
0.0007663660532265319,0.0003829044666973393,49.72926703662542
0.0007540604613339837,0.00037701290165936433,50.0
0.0007414541446884212,0.0003705081648024964,50.28916384272063
0.0007276419338229364,0.00036386125104901024,50.59644256269407
0.0007135523436414943,0.00035662784326982266,50.92150822589606
0.0006983119229930598,0.0003492643575206118,51.264022471905186
0.0006828177369461843,0.00034134312882363283,51.62363799656123
0.00066623151658901,0.00033330398515051316,52.0
0.0006494148942270032,0.0003247376226802823,52.392747589718944
0.000631568168871263,0.00031606536818043886,52.80151512977634
0.0006135137458964575,0.00030689795082066313,53.225933528685054
0.0005944937847763443,0.00029763639240650214,53.665631459994955
0.0005752878758980111,0.00028791308414857303,54.120236510939236
0.0005551832193008597,0.00027810706135412045,54.589376255824725
0.0005349132210922887,0.0002678739587030496,55.072679252057455
0.000513813167395481,0.0002575692808084095,55.569775957799216
0.0004925671388076048,0.00024687343892982477,56.08029957123981
