phi,x,y
0.0,0,0
0.0,0,1
0.0,0,2
0.0,0,3
0.0,0,4
0.0,0,5
0.0,0,6
0.0,0,7
0.0,0,8
0.0,0,9
0.0,0,10
0.0,0,11
0.0,0,12
0.0,0,13
0.0,0,14
0.0,0,15
0.0,0,16
0.0,0,17
0.0,0,18
0.0,0,19
0.0,0,20
0.0,0,21
0.0,0,22
0.0,0,23
0.0,0,24
0.0,0,25
0.0,0,26
0.0,0,27
0.0,0,28
0.0,0,29
0.0,0,30
0.0,0,31
0.0,0,32
0.0,0,33
0.0,0,34
0.0,0,35
0.0,0,36
0.0,0,37
0.0,0,38
0.0,0,39
0.0,0,40
0.0,0,41
0.0,0,42
0.0,0,43
0.0,0,44
0.0,0,45
0.0,0,46
0.0,0,47
0.0,0,48
0.0,0,49
0.0,0,50
0.0,0,51
0.0,0,52
0.0,0,53
0.0,0,54
0.0,0,55
0.0,0,56
0.0,0,57
0.0,0,58
0.0,0,59
0.0,0,60
0.0,0,61
0.0,0,62
0.0,0,63
0.0,0,64
0.0,0,65
0.0,0,66
0.0,0,67
0.0,0,68
0.0,0,69
0.0,0,70
0.0,0,71
0.0,0,72
0.0,0,73
0.0,0,74
0.0,0,75
0.0,0,76
0.0,0,77
0.0,0,78
0.0,0,79
0.0,0,80
0.0,0,81
0.0,0,82
0.0,0,83
0.0,0,84
0.0,0,85
0.0,0,86
0.0,0,87
0.0,0,88
0.0,0,89
0.0,0,90
0.0,0,91
0.0,0,92
0.0,0,93
0.0,0,94
0.0,0,95
0.0,0,96
0.0,0,97
0.0,0,98
0.0,0,99
0.0,1,0
2.1857297411524586e-06,1,1
4.372133140388407e-06,1,2
6.556034118406112e-06,1,3
8.741916245248714e-06,1,4
1.0922729046643396e-05,1,5
1.3106710465143501e-05,1,6
1.5282925560457545e-05,1,7
1.7463294979355736e-05,1,8
1.963300331185337e-05,1,9
2.1807565926744018e-05,1,10
2.3968304652132963e-05,1,11
2.613422543024113e-05,1,12
2.828281866011639e-05,1,13
3.0436461129682156e-05,1,14
3.2568857059869164e-05,1,15
3.4705619912646193e-05,1,16
3.681672767996246e-05,1,17
3.8930883666015376e-05,1,18
4.1014415642447236e-05,1,19
4.3098959774714524e-05,1,20
4.514728768773202e-05,1,21
4.719380455182726e-05,1,22
4.919784064010731e-05,1,23
5.119640339752618e-05,1,24
5.3145520490993174e-05,1,25
5.5084636629334105e-05,1,26
5.696664317771764e-05,1,27
5.8833263736461114e-05,1,28
6.063445088389131e-05,1,29
6.241406020666587e-05,1,30
6.411933742981288e-05,1,31
6.579613886402337e-05,1,32
6.738927187624331e-05,1,33
6.894648072738631e-05,1,34
7.041043985838981e-05,1,35
7.183068799610405e-05,1,36
7.31481069456776e-05,1,37
7.4413953827409e-05,1,38
7.556768789363668e-05,1,39
7.666222103746073e-05,1,40
7.763598155939343e-05,1,41
7.854347689636193e-05,1,42
7.932250626175087e-05,1,43
8.002910712470559e-05,1,44
8.06008482712966e-05,1,45
8.109521314642185e-05,1,46
8.144992116136764e-05,1,47
8.172378676896846e-05,1,48
8.185502976275047e-05,1,49
8.19036389841268e-05,1,50
8.180864184618266e-05,1,51
8.163099586381444e-05,1,52
8.131079354621434e-05,1,53
8.090970339513792e-05,1,54
8.036908844464263e-05,1,55
7.975102081715487e-05,1,56
7.8998290328648e-05,1,57
7.817302292728138e-05,1,58
7.721954973636803e-05,1,59
7.619966954491599e-05,1,60
7.505933830939856e-05,1,61
7.385962919248706e-05,1,62
7.254818786476533e-05,1,63
7.118496033960802e-05,1,64
6.971934048522302e-05,1,65
6.820975608419852e-05,1,66
6.660741194560254e-05,1,67
6.496884826842533e-05,1,68
6.32471558469858e-05,1,69
6.149664798418875e-05,1,70
5.967239374563596e-05,1,71
5.782617537190027e-05,1,72
5.591515158600392e-05,1,73
5.39883066686879e-05,1,74
5.2005018667551846e-05,1,75
5.0011243946226046e-05,1,76
4.796872496359625e-05,1,77
4.592019505517822e-05,1,78
4.382991740925826e-05,1,79
4.17372389113286e-05,1,80
3.96091061914958e-05,1,81
3.748134435322317e-05,1,82
3.53237476532186e-05,1,83
3.316850861576237e-05,1,84
3.0988430190801305e-05,1,85
2.8811982884722266e-05,1,86
2.6615132296808164e-05,1,87
2.44225562304766e-05,1,88
2.2213526521644368e-05,1,89
2.0008874382688408e-05,1,90
1.7791308614807066e-05,1,91
1.5577775430594115e-05,1,92
1.335453670811959e-05,1,93
1.1134629986268783e-05,1,94
8.907970606314794e-06,1,95
6.683678224732551e-06,1,96
4.4554057444308656e-06,1,97
2.228360288143605e-06,1,98
0.0,1,99
0.0,2,0
4.372133134440456e-06,2,1
8.741786629996636e-06,2,2
1.3114140495482373e-05,2,3
1.747899117729115e-05,2,4
2.1849083170833546e-05,2,5
2.620645445560376e-05,2,6
3.057128694530341e-05,2,7
3.491785416193275e-05,2,8
3.927361580832563e-05,2,9
4.360510259009558e-05,2,10
4.7946859715757776e-05,2,11
