x,y,r,E_x,E_y,E_z,E,phi
0,0,70.71067811865476,-0.0,-0.0,-0.0,0.0,0.0
0,1,70.00714249274856,-6.701606172764794e-06,-0.0,-0.0,6.701606172764794e-06,0.0
0,2,69.31089380465383,-1.3305155701606853e-05,-0.0,-0.0,1.3305155701606853e-05,0.0
0,3,68.62215385719105,-1.9806215474878418e-05,-0.0,-0.0,1.9806215474878418e-05,0.0
0,4,67.94115100585212,-2.620051833031894e-05,-0.0,-0.0,2.620051833031894e-05,0.0
0,5,67.26812023536856,-3.24839600912093e-05,-0.0,-0.0,3.24839600912093e-05,0.0
0,6,66.60330322138685,-3.8652596362982565e-05,-0.0,-0.0,3.8652596362982565e-05,0.0
0,7,65.94694837519019,-4.4702639078044614e-05,-0.0,-0.0,4.4702639078044614e-05,0.0
0,8,65.29931086925804,-5.06304527785796e-05,-0.0,-0.0,5.06304527785796e-05,0.0
0,9,64.66065264130884,-5.64325506330037e-05,-0.0,-0.0,5.64325506330037e-05,0.0
0,10,64.03124237432849,-6.210559018425314e-05,-0.0,-0.0,6.210559018425314e-05,0.0
0,11,63.41135544995076,-6.76463688354792e-05,-0.0,-0.0,6.76463688354792e-05,0.0
0,12,62.80127387243033,-7.305181908497788e-05,-0.0,-0.0,7.305181908497788e-05,0.0
0,13,62.20128616033595,-7.831900352818508e-05,-0.0,-0.0,7.831900352818508e-05,0.0
0,14,61.61168720299745,-8.344510965441565e-05,-0.0,-0.0,8.344510965441565e-05,0.0
0,15,61.032778078668514,-8.842744447468652e-05,-0.0,-0.0,8.842744447468652e-05,0.0
0,16,60.4648658313239,-9.326342902602142e-05,-0.0,-0.0,9.326342902602142e-05,0.0
0,17,59.90826320300064,-9.795059280843004e-05,-0.0,-0.0,9.795059280843004e-05,0.0
0,18,59.36328831862332,-0.00010248656822232883,-0.0,-0.0,0.00010248656822232883,0.0
0,19,58.83026432033091,-0.00010686908508497598,-0.0,-0.0,0.00010686908508497598,0.0
