phi,x,y
0.0,0,0
0.0,0,1
0.0,0,2
0.0,0,3
0.0,0,4
0.0,0,5
0.0,0,6
0.0,0,7
0.0,0,8
0.0,0,9
0.0,0,10
0.0,0,11
0.0,0,12
0.0,0,13
0.0,0,14
0.0,0,15
0.0,0,16
0.0,0,17
0.0,0,18
0.0,0,19
0.0,0,20
0.0,0,21
0.0,0,22
0.0,0,23
0.0,0,24
0.0,0,25
0.0,0,26
0.0,0,27
0.0,0,28
0.0,0,29
0.0,0,30
0.0,0,31
0.0,0,32
0.0,0,33
0.0,0,34
0.0,0,35
0.0,0,36
0.0,0,37
0.0,0,38
0.0,0,39
0.0,0,40
0.0,0,41
0.0,0,42
0.0,0,43
0.0,0,44
0.0,0,45
0.0,0,46
0.0,0,47
0.0,0,48
0.0,0,49
0.0,0,50
0.0,0,51
0.0,0,52
0.0,0,53
0.0,0,54
0.0,0,55
0.0,0,56
0.0,0,57
0.0,0,58
0.0,0,59
0.0,0,60
0.0,0,61
0.0,0,62
0.0,0,63
0.0,0,64
0.0,0,65
0.0,0,66
0.0,0,67
0.0,0,68
0.0,0,69
0.0,0,70
0.0,0,71
0.0,0,72
0.0,0,73
0.0,0,74
0.0,0,75
0.0,0,76
0.0,0,77
0.0,0,78
0.0,0,79
0.0,0,80
0.0,0,81
0.0,0,82
0.0,0,83
0.0,0,84
0.0,0,85
0.0,0,86
0.0,0,87
0.0,0,88
0.0,0,89
0.0,0,90
0.0,0,91
0.0,0,92
0.0,0,93
0.0,0,94
0.0,0,95
0.0,0,96
0.0,0,97
0.0,0,98
0.0,0,99
0.0,1,0
0.0015403078392515039,1,1
0.0030707691072143317,1,2
0.004591091828410414,1,3
0.006082149503270021,1,4
0.007554094599663758,1,5
0.008978169234970183,1,6
0.010376345598842113,1,7
0.011709366967727898,1,8
0.013012652083612278,1,9
0.014235282290483486,1,10
0.015427688672684894,1,11
0.016526139229345524,1,12
0.017597224481603713,1,13
0.01856361966518626,1,14
0.019508439217276855,1,15
0.020340730016369987,1,16
0.021159382591560694,1,17
0.021860862102920542,1,18
0.02255771819343669,1,19
0.023136224474517703,1,20
0.023718952770768686,1,21
0.02418586541528604,1,22
0.02466437940933645,1,23
0.02503352083909142,1,24
0.02541895879605766,1,25
0.02570550232580046,1,26
0.026009331951870957,1,27
0.026228799756573138,1,28
0.026462109100247568,1,29
0.026629518807382735,1,30
0.026802522526448866,1,31
0.02693171567174128,1,32
0.0270534755665892,1,33
0.027156638135985414,1,34
0.027234972379645783,1,35
0.02732233937428177,1,36
0.027363878235402872,1,37
0.027443601531390683,1,38
0.027453939152403923,1,39
0.027532090608318818,1,40
0.02751598187116829,1,41
0.027596660610564153,1,42
0.02755821772626989,1,43
0.027643730413254974,1,44
0.027586583584059316,1,45
0.027677668024257713,1,46
0.027605066245953446,1,47
0.02770113086347928,1,48
0.027615970778311526,1,49
0.027715325027580628,1,50
0.02762010624791419,1,51
0.027720159887430346,1,52
0.027616873476097772,1,53
0.027714286272130028,1,54
0.027604248764917603,1,55
0.027695017147167707,1,56
0.02757866587126112,1,57
0.0276581397688421,1,58
0.027534806930212347,1,59
0.027597638610167063,1,60
0.02746532263211175,1,61
0.027505359540529895,1,62
0.02736051337415725,1,63
0.027370657944729076,1,64
0.027208016188139464,1,65
0.027180086077993205,1,66
0.02699255582363111,1,67
0.026917186461273012,1,68
0.02669583020029449,1,69
0.02656246613151313,1,70
0.026296607407351857,1,71
0.026093628046608492,1,72
0.025771109971924232,1,73
0.025486127749874906,1,74
0.025093748985065483,1,75
0.024714102981382293,1,76
0.024238243791110965,1,77
0.02375169021462527,1,78
0.02317912231164647,1,79
0.022574696305296182,1,80
0.021893545436694983,1,81
0.021162539562222027,1,82
0.020363341991690813,1,83
0.01950031936867511,1,84
0.018577086863235906,1,85
0.017580825878784675,1,86
0.016532013682408607,1,87
0.01540627091876369,1,88
0.014235534523124945,1,89
0.01298951655441863,1,90
0.011706149624248803,1,91
0.01035460424737141,1,92
0.008973573290875763,1,93
0.007536445719073921,1,94
0.006077975529798828,1,95
0.004579621499507204,1,96
0.003068334540447149,1,97
0.001536334149789191,1,98
0.0,1,99
0.0,2,0
0.003070814492069913,2,1
0.006131479604601906,2,2
0.009152765929446036,2,3
0.012144778549351002,2,4
0.01505913444122381,2,5
0.017928473480250288,2,6
0.020684036242372063,2,7
0.02338401769642374,2,8
0.02593724142089793,2,9
0.028430668316862032,2,10
0.030748376495430645,2,11
0.03300882047110263,2,12
0.035069387734444235,2,13
0.03708154560519519,2,14
0.038875165900010195,2,15
0.04063434197232007,2,16
0.042162440528840904,2,17
0.043673297971264215,2,18
0.04494722709480512,2,19
0.04622201728772918,2,20
0.047261231754950624,2,21
0.04831774252692897,2,22
0.049147675076396495,2,23
0.05000713642210274,2,24
0.05065698885752363,2,25
0.05134214285429917,2,26
0.05184277938698056,2,27
0.05237626818984243,2,28
0.05275835324998787,2,29
0.05316151570453406,2,30
