x,y,E_x,E_y,E_z
0,0,-0.0,-0.0,-0.0
0,1,-0.0007066727422608668,-0.0,-0.0
0,2,-0.0014104287072055127,-0.0,-0.0
0,3,-0.002113530076625583,-0.0,-0.0
0,4,-0.002807949999878051,-0.0,-0.0
0,5,-0.003501100191090897,-0.0,-0.0
0,6,-0.004180008937652154,-0.0,-0.0
0,7,-0.004857107542514115,-0.0,-0.0
0,8,-0.005514739249012506,-0.0,-0.0
0,9,-0.006170122424010431,-0.0,-0.0
0,10,-0.0068012679839854024,-0.0,-0.0
0,11,-0.007429844952381393,-0.0,-0.0
0,12,-0.00802997531326988,-0.0,-0.0
0,13,-0.008627338738819062,-0.0,-0.0
0,14,-0.009192698889381581,-0.0,-0.0
0,15,-0.009755205258333228,-0.0,-0.0
0,16,-0.010282875471852648,-0.0,-0.0
0,17,-0.01080769337593006,-0.0,-0.0
0,18,-0.011295616109466902,-0.0,-0.0
0,19,-0.011780742101041165,-0.0,-0.0
0,20,-0.012227714799334405,-0.0,-0.0
0,21,-0.012671958163013875,-0.0,-0.0
0,22,-0.013077593947753841,-0.0,-0.0
0,23,-0.013480533188912264,-0.0,-0.0
0,24,-0.013845192917255706,-0.0,-0.0
0,25,-0.014207107922362301,-0.0,-0.0
0,26,-0.014531808285590845,-0.0,-0.0
0,27,-0.014853592908272255,-0.0,-0.0
0,28,-0.01513989605701241,-0.0,-0.0
0,29,-0.015422956308677063,-0.0,-0.0
0,30,-0.015672846914000876,-0.0,-0.0
0,31,-0.015918990003058638,-0.0,-0.0
0,32,-0.01613474570540888,-0.0,-0.0
0,33,-0.016346064918220635,-0.0,-0.0
0,34,-0.01653012582028925,-0.0,-0.0
0,35,-0.01670888573600063,-0.0,-0.0
0,36,-0.016863728026373405,-0.0,-0.0
0,37,-0.017012253886858224,-0.0,-0.0
0,38,-0.017140271918455092,-0.0,-0.0
0,39,-0.017260846219023466,-0.0,-0.0
0,40,-0.017364246496502315,-0.0,-0.0
0,41,-0.017459015104623134,-0.0,-0.0
0,42,-0.017539724742121534,-0.0,-0.0
0,43,-0.01761061416084323,-0.0,-0.0
0,44,-0.017670205529887396,-0.0,-0.0
0,45,-0.017718852353446207,-0.0,-0.0
0,46,-0.017758484908523952,-0.0,-0.0
0,47,-0.01778617810217122,-0.0,-0.0
0,48,-0.017806557785748762,-0.0,-0.0
0,49,-0.017814194169490358,-0.0,-0.0
0,50,-0.017815550373826962,-0.0,-0.0
0,51,-0.017803603587358108,-0.0,-0.0
0,52,-0.01778568337943696,-0.0,-0.0
0,53,-0.017754186619882678,-0.0,-0.0
0,54,-0.017716265790093288,-0.0,-0.0
0,55,-0.017664808696527604,-0.0,-0.0
0,56,-0.017605719127748012,-0.0,-0.0
0,57,-0.017533459278691547,-0.0,-0.0
0,58,-0.017451632097026687,-0.0,-0.0
0,59,-0.01735732162859462,-0.0,-0.0
0,60,-0.017250845534886972,-0.0,-0.0
0,61,-0.017132873322246448,-0.0,-0.0
0,62,-0.01699956736445381,-0.0,-0.0
0,63,-0.016856016993800998,-0.0,-0.0
0,64,-0.01669351678639943,-0.0,-0.0
0,65,-0.01652224015236343,-0.0,-0.0
0,66,-0.01632809615971855,-0.0,-0.0
0,67,-0.0161268019491016,-0.0,-0.0
0,68,-0.015898587926244063,-0.0,-0.0
0,69,-0.015664943512016857,-0.0,-0.0
0,70,-0.01540037256219713,-0.0,-0.0
0,71,-0.015132116973625183,-0.0,-0.0
0,72,-0.014829161982876001,-0.0,-0.0
0,73,-0.01452422670116217,-0.0,-0.0
0,74,-0.014181241209632017,-0.0,-0.0
0,75,-0.013837874642076782,-0.0,-0.0
0,76,-0.013453709586578396,-0.0,-0.0
0,77,-0.01307060028392767,-0.0,-0.0
0,78,-0.01264471157774562,-0.0,-0.0
0,79,-0.012221104668469289,-0.0,-0.0
0,80,-0.011753646351502655,-0.0,-0.0
0,81,-0.011289447355201558,-0.0,-0.0
0,82,-0.010781345116246887,-0.0,-0.0
0,83,-0.010277205331976865,-0.0,-0.0
0,84,-0.009730205620901789,-0.0,-0.0
0,85,-0.009187583706448356,-0.0,-0.0
0,86,-0.008604274434899457,-0.0,-0.0
0,87,-0.008025469610924587,-0.0,-0.0
0,88,-0.0074092695713145655,-0.0,-0.0
0,89,-0.006797423076552243,-0.0,-0.0
0,90,-0.006152538641577968,-0.0,-0.0
0,91,-0.005511601573788215,-0.0,-0.0
0,92,-0.004842950891701114,-0.0,-0.0
0,93,-0.004177618303962357,-0.0,-0.0
0,94,-0.003490724970654195,-0.0,-0.0
0,95,-0.0028063379384034924,-0.0,-0.0
0,96,-0.0021071978805167575,-0.0,-0.0
0,97,-0.0014096170801212082,-0.0,-0.0
0,98,-0.0007045439913678009,-0.0,-0.0
0,99,-0.0,-0.0,-0.0
1,0,-0.0,-0.0007066727422608668,-0.0
1,1,-0.0007052154053498552,-0.0007052143536027564,2.1141945862458798e-07
1,2,-0.001410103581495089,-0.0007034286671823581,3.942627551061081e-07
1,3,-0.0021091777539118074,-0.0006987606463362692,6.320793113736341e-07
1,4,-0.0028072901981653284,-0.0006937850572326571,7.849720870319477e-07
1,5,-0.003493911779405785,-0.0006860294688870513,1.0462733931715894e-06
1,6,-0.0041789948933231595,-0.0006780036757116088,1.1686986912673447e-06
1,7,-0.004847180615989841,-0.0006673651556801763,1.4499259782052923e-06
1,8,-0.005513340542615436,-0.0006565074407481582,1.5422545853378301e-06
1,9,-0.006157592252998184,-0.0006432643674864481,1.839302176827838e-06
1,10,-0.0067994423166938016,-0.000629861264185481,1.9027969466855338e-06
1,11,-0.007414882944239225,-0.000614353664642239,2.2111221407356864e-06
1,12,-0.00802766753555289,-0.0005987468932188342,2.2479130285264076e-06
1,13,-0.008610150147554998,-0.0005813617880558505,2.5626544242172977e-06
1,14,-0.009189840367258298,-0.000563933259757083,2.575681849381964e-06
1,15,-0.009736026009050382,-0.0005450882912355331,2.891784312140065e-06
1,16,-0.010279384078015258,-0.0005262440587984162,2.8847098655438233e-06
1,17,-0.010786785874439014,-0.0005063703188071273,3.197054131468327e-06
1,18,-0.011291397097892583,-0.00048652436255555275,3.174139494585039e-06
1,19,-0.01175838994813616,-0.00046604934493375133,3.4776739137277676e-06
1,20,-0.01222266276185372,-0.0004456080309863551,3.4436310372846016e-06
1,21,-0.012648459763283016,-0.000424939574209718,3.733502207176574e-06
1,22,-0.013071595964674524,-0.0004042875129491941,3.6933201219046044e-06
1,23,-0.013456194329715778,-0.00038379948475093274,3.964998281952292e-06
1,24,-0.013838132909459155,-0.00036328736672501874,3.923754157772116e-06
1,25,-0.014182233492121166,-0.0003433076841675691,4.1731483605865136e-06
1,26,-0.014523572462252159,-0.0003232424929549768,4.135812344679968e-06
1,27,-0.014828478015786952,-0.00030404388571078286,4.359369772851014e-06
1,28,-0.015130379241814415,-0.00028468170020240404,4.330614479089445e-06
1,29,-0.015397877147994012,-0.0002664754284942327,4.525398015059294e-06
1,30,-0.01566195943378983,-0.00024801684719078735,4.509424098131376e-06
1,31,-0.01589419487325414,-0.00023094939570400194,4.673162532673261e-06
1,32,-0.016122420447848586,-0.0002135374575809989,4.673551412089777e-06
1,33,-0.0163217658476626,-0.00019769005744018492,4.804657594465606e-06
1,34,-0.016516325018337306,-0.00018141040888999815,4.82426103155624e-06
1,35,-0.016685251171514367,-0.00016680110304207775,4.9218148503032966e-06
1,36,-0.016848449311790175,-0.00015168407542879604,4.962688759461639e-06
1,37,-0.01698940288754291,-0.00013827194604084346,5.026384042847859e-06
1,38,-0.017123553205529354,-0.00012429616608262105,5.089770773986091e-06
1,39,-0.017238844542606938,-0.00011198728902361149,5.119827872161059e-06
1,40,-0.017346169309197197,-9.908444279983428e-05,5.206187470230966e-06
1,41,-0.017437873494064494,-8.773912280960958e-05,5.2032362083762745e-06
1,42,-0.017520415678649603,-7.57995281100484e-05,5.312323153016871e-06
1,43,-0.0175902890354421,-6.524039388293087e-05,5.2772637481064005e-06
1,44,-0.017649835661879658,-5.411909630148766e-05,5.4082417695541785e-06
1,45,-0.01769924898874356,-4.4139689318278136e-05,5.342093873671183e-06
1,46,-0.017737267029574757,-3.3662874362506284e-05,5.4936780137064545e-06
1,47,-0.017767156254281827,-2.4036438612404926e-05,5.397429976867346e-06
1,48,-0.017784741547656458,-1.4008033659569305e-05,5.5680424757720975e-06
1,49,-0.017795575970474965,-4.496294039100027e-06,5.44251394302489e-06
1,50,-0.017793415469891667,5.295291066124974e-06,5.630439081321173e-06
1,51,-0.017785183416867464,1.4933497195000409e-05,5.4761699567421745e-06
1,52,-0.01776353104509192,2.4708483737714837e-05,5.6796928619012865e-06
1,53,-0.01773574255176763,3.470879467183663e-05,5.496870390194614e-06
1,54,-0.017694408985581257,4.4688961677537276e-05,5.714386106261959e-06
1,55,-0.017646115033228108,5.5273331172637705e-05,5.50281936373756e-06
1,56,-0.017584471840725067,6.567470891802839e-05,5.732901111379571e-06
1,57,-0.017514299625119165,7.704351536066273e-05,5.492048706342081e-06
1,58,-0.017431298251782357,8.806882504846375e-05,5.733468030663658e-06
1,59,-0.01733750192321804,0.00010039328106985733,5.4625205479393035e-06
1,60,-0.017231708017859143,0.00011222415317408557,5.714216639352704e-06
1,61,-0.017112234236759078,0.00012563908521658063,5.412230674959814e-06
1,62,-0.016981877672946108,0.00013842816422272516,5.673231141940099e-06
1,63,-0.01683444513320276,0.0001530252890271904,5.339307071951238e-06
1,64,-0.01667748578022973,0.00016688842071878318,5.6086073792586955e-06
1,65,-0.016499677532519724,0.00018271031334043952,5.2420987208430525e-06
1,66,-0.016313886346329996,0.0001977191016309162,5.518511914501603e-06
1,67,-0.016103253296105704,0.00021475411673724416,5.119250672213499e-06
