x,y,r,E_x,E_y,E_z,E,phi
0,0,70.71067811865476,-0.0,-0.0,-0.0,0.0,0.0
0,1,70.00714249274856,-8.51403574904989e-07,-0.0,-0.0,8.51403574904989e-07,0.0
0,2,69.31089380465383,-1.7021839797260857e-06,-0.0,-0.0,1.7021839797260857e-06,0.0
0,3,68.62215385719105,-2.554605446215448e-06,-0.0,-0.0,2.554605446215448e-06,0.0
0,4,67.94115100585212,-3.4051413295958984e-06,-0.0,-0.0,3.4051413295958984e-06,0.0
0,5,67.26812023536856,-4.258915500175347e-06,-0.0,-0.0,4.258915500175347e-06,0.0
0,6,66.60330322138685,-5.109493167909312e-06,-0.0,-0.0,5.109493167909312e-06,0.0
0,7,65.94694837519019,-5.964818158213448e-06,-0.0,-0.0,5.964818158213448e-06,0.0
0,8,65.29931086925804,-6.815553969127466e-06,-0.0,-0.0,6.815553969127466e-06,0.0
0,9,64.66065264130884,-7.672412654611135e-06,-0.0,-0.0,7.672412654611135e-06,0.0
0,10,64.03124237432849,-8.523173279022588e-06,-0.0,-0.0,8.523173279022588e-06,0.0
0,11,63.41135544995076,-9.381252389088292e-06,-0.0,-0.0,9.381252389088292e-06,0.0
0,12,62.80127387243033,-1.023157257088026e-05,-0.0,-0.0,1.023157257088026e-05,0.0
0,13,62.20128616033595,-1.1090179362009461e-05,-0.0,-0.0,1.1090179362009461e-05,0.0
0,14,61.61168720299745,-1.1939177480917233e-05,-0.0,-0.0,1.1939177480917233e-05,0.0
0,15,61.032778078668514,-1.27971546943116e-05,-0.0,-0.0,1.27971546943116e-05,0.0
0,16,60.4648658313239,-1.364344729807363e-05,-0.0,-0.0,1.364344729807363e-05,0.0
0,17,59.90826320300064,-1.4499088088118173e-05,-0.0,-0.0,1.4499088088118173e-05,0.0
0,18,59.36328831862332,-1.534070564922334e-05,-0.0,-0.0,1.534070564922334e-05,0.0
0,19,58.83026432033091,-1.619167135139817e-05,-0.0,-0.0,1.619167135139817e-05,0.0
0,20,58.309518948453004,-1.7025978771981836e-05,-0.0,-0.0,1.7025978771981836e-05,0.0
0,21,57.8013840664737,-1.7869223718230828e-05,-0.0,-0.0,1.7869223718230828e-05,0.0
0,22,57.30619512757761,-1.8692850495295975e-05,-0.0,-0.0,1.8692850495295975e-05,0.0
0,23,56.824290580701486,-1.9524559494597002e-05,-0.0,-0.0,1.9524559494597002e-05,0.0
0,24,56.356011214421486,-2.0333345853647394e-05,-0.0,-0.0,2.0333345853647394e-05,0.0
0,25,55.90169943749474,-2.1148891294757805e-05,-0.0,-0.0,2.1148891294757805e-05,0.0
0,26,55.46169849544819,-2.1937857832157756e-05,-0.0,-0.0,2.1937857832157756e-05,0.0
0,27,55.036351623268054,-2.273178443251219e-05,-0.0,-0.0,2.273178443251219e-05,0.0
0,28,54.62600113499065,-2.3495133643810527e-05,-0.0,-0.0,2.3495133643810527e-05,0.0
0,29,54.230987451824994,-2.4261179404517857e-05,-0.0,-0.0,2.4261179404517857e-05,0.0
0,30,53.85164807134504,-2.499233763656754e-05,-0.0,-0.0,2.499233763656754e-05,0.0
0,31,53.48831648126533,-2.572349927271093e-05,-0.0,-0.0,2.572349927271093e-05,0.0
0,32,53.14132102234569,-2.6415206821743705e-05,-0.0,-0.0,2.6415206821743705e-05,0.0
0,33,52.81098370604357,-2.7103856528885942e-05,-0.0,-0.0,2.7103856528885942e-05,0.0
0,34,52.49761899362675,-2.7748311549233165e-05,-0.0,-0.0,2.7748311549233165e-05,0.0
0,35,52.20153254455275,-2.8386369219737628e-05,-0.0,-0.0,2.8386369219737628e-05,0.0
0,36,51.92301994298868,-2.897542765201375e-05,-0.0,-0.0,2.897542765201375e-05,0.0
0,37,51.66236541235796,-2.9554588498442935e-05,-0.0,-0.0,2.9554588498442935e-05,0.0
0,38,51.419840528729765,-3.0080017409647695e-05,-0.0,-0.0,3.0080017409647695e-05,0.0
0,39,51.19570294468082,-3.059202955257103e-05,-0.0,-0.0,3.059202955257103e-05,0.0
0,40,50.99019513592785,-3.104580541258281e-05,-0.0,-0.0,3.104580541258281e-05,0.0
0,41,50.80354318352215,-3.148278580895795e-05,-0.0,-0.0,3.148278580895795e-05,0.0
0,42,50.635955604688654,-3.185742292645494e-05,-0.0,-0.0,3.185742292645494e-05,0.0
0,43,50.48762224545735,-3.2212193819137554e-05,-0.0,-0.0,3.2212193819137554e-05,0.0
0,44,50.35871324805669,-3.2501082322391037e-05,-0.0,-0.0,3.2501082322391037e-05,0.0
0,45,50.24937810560445,-3.2767505179303e-05,-0.0,-0.0,3.2767505179303e-05,0.0
0,46,50.15974481593781,-3.296523361104468e-05,-0.0,-0.0,3.296523361104468e-05,0.0
0,47,50.08991914547278,-3.3138514359577676e-05,-0.0,-0.0,3.3138514359577676e-05,0.0
0,48,50.039984012787215,-3.324115017431922e-05,-0.0,-0.0,3.324115017431922e-05,0.0
0,49,50.00999900019995,-3.3318089321471025e-05,-0.0,-0.0,3.3318089321471025e-05,0.0
0,50,50.0,-3.3323392047894284e-05,-0.0,-0.0,3.3323392047894284e-05,0.0
0,51,50.00999900019995,-3.33025564910309e-05,-0.0,-0.0,3.33025564910309e-05,0.0
0,52,50.039984012787215,-3.321010324627161e-05,-0.0,-0.0,3.321010324627161e-05,0.0
0,53,50.08991914547278,-3.309190309796962e-05,-0.0,-0.0,3.309190309796962e-05,0.0
0,54,50.15974481593781,-3.290311405496915e-05,-0.0,-0.0,3.290311405496915e-05,0.0
0,55,50.24937810560445,-3.268977684137437e-05,-0.0,-0.0,3.268977684137437e-05,0.0
