x,y,E_x,E_y,E_z
0,0,-0.0,-0.0,-0.0
0,1,-0.0036115124198710397,-0.0,-0.0
0,2,-0.00735132226814872,-0.0,-0.0
0,3,-0.010672817609831199,-0.0,-0.0
0,4,-0.014375970245167338,-0.0,-0.0
0,5,-0.01727033612466238,-0.0,-0.0
0,6,-0.02079017479951634,-0.0,-0.0
0,7,-0.023161470284573837,-0.0,-0.0
0,8,-0.02638674066424587,-0.0,-0.0
0,9,-0.0281886466325226,-0.0,-0.0
0,10,-0.031052978867917247,-0.0,-0.0
0,11,-0.03228809775471451,-0.0,-0.0
0,12,-0.034770849347284326,-0.0,-0.0
0,13,-0.03548220556810807,-0.0,-0.0
0,14,-0.03760182683349033,-0.0,-0.0
0,15,-0.03785963169101488,-0.0,-0.0
0,16,-0.039662222747708246,-0.0,-0.0
0,17,-0.03954954237179179,-0.0,-0.0
0,18,-0.04109578368339457,-0.0,-0.0
0,19,-0.04069619610523765,-0.0,-0.0
0,20,-0.042049432421694684,-0.0,-0.0
0,21,-0.041438482729333315,-0.0,-0.0
0,22,-0.04265577799189568,-0.0,-0.0
0,23,-0.041896603342224364,-0.0,-0.0
0,24,-0.04302348898866884,-0.0,-0.0
0,25,-0.04216586822650725,-0.0,-0.0
0,26,-0.04323460501833837,-0.0,-0.0
0,27,-0.0423161343653329,-0.0,-0.0
0,28,-0.043346744736960215,-0.0,-0.0
0,29,-0.04239484109182045,-0.0,-0.0
0,30,-0.043397932028367725,-0.0,-0.0
0,31,-0.0424317386384535,-0.0,-0.0
0,32,-0.04341212671870368,-0.0,-0.0
0,33,-0.04244390903818828,-0.0,-0.0
0,34,-0.04340417591399696,-0.0,-0.0
0,35,-0.04244025236888243,-0.0,-0.0
0,36,-0.04338353732417074,-0.0,-0.0
0,37,-0.042425072293752704,-0.0,-0.0
0,38,-0.04335663073198867,-0.0,-0.0
0,39,-0.04240068537239069,-0.0,-0.0
0,40,-0.04332801066713712,-0.0,-0.0
0,41,-0.042369122749515924,-0.0,-0.0
0,42,-0.04330073407955031,-0.0,-0.0
0,43,-0.042333046182411856,-0.0,-0.0
0,44,-0.04327634522306909,-0.0,-0.0
0,45,-0.04229601463751534,-0.0,-0.0
0,46,-0.04325484093433337,-0.0,-0.0
0,47,-0.04226224555571603,-0.0,-0.0
0,48,-0.043234844857825076,-0.0,-0.0
0,49,-0.04223602932536596,-0.0,-0.0
0,50,-0.04321405329581551,-0.0,-0.0
0,51,-0.0422209747883342,-0.0,-0.0
0,52,-0.04318986910065128,-0.0,-0.0
0,53,-0.04221927666360347,-0.0,-0.0
0,54,-0.04316005454192375,-0.0,-0.0
0,55,-0.04223118705671005,-0.0,-0.0
0,56,-0.04312322513882542,-0.0,-0.0
0,57,-0.042254828522024196,-0.0,-0.0
0,58,-0.043079059374789674,-0.0,-0.0
0,59,-0.04228639946766671,-0.0,-0.0
0,60,-0.04302817713981578,-0.0,-0.0
0,61,-0.04232070156561817,-0.0,-0.0
0,62,-0.04297169975306769,-0.0,-0.0
0,63,-0.0423517843853439,-0.0,-0.0
0,64,-0.04291051356088573,-0.0,-0.0
0,65,-0.04237338336815107,-0.0,-0.0
0,66,-0.04284420559422634,-0.0,-0.0
0,67,-0.042378751204794896,-0.0,-0.0
0,68,-0.04276953926879218,-0.0,-0.0
0,69,-0.04235947202583736,-0.0,-0.0
0,70,-0.042678236516004414,-0.0,-0.0
0,71,-0.04230292314932641,-0.0,-0.0
