x,y,r,M_x,M_y,M_z,M,phi
0,0,70.71067811865476,0.0,-0.0,0.0,0.0,0.0
0,1,70.00714249274856,0.0,-5.439054009253139e-05,0.0,5.439054009253139e-05,0.0
0,2,69.31089380465383,0.0,-0.00010878200231010838,0.0,0.00010878200231010838,0.0
0,3,68.62215385719105,0.0,-0.00016317114304553049,0.0,0.00016317114304553049,0.0
0,4,67.94115100585212,0.0,-0.0002175618072367777,0.0,0.0002175618072367777,0.0
0,5,67.26812023536856,0.0,-0.00027194535818808715,0.0,0.00027194535818808715,0.0
0,6,66.60330322138685,0.0,-0.000326327305475548,0.0,0.000326327305475548,0.0
0,7,65.94694837519019,0.0,-0.0003806924083515143,0.0,0.0003806924083515143,0.0
0,8,65.29931086925804,0.0,-0.0004350465697246997,0.0,0.0004350465697246997,0.0
0,9,64.66065264130884,0.0,-0.0004893667539167256,0.0,0.0004893667539167256,0.0
0,10,64.03124237432849,0.0,-0.000543657979009519,0.0,0.000543657979009519,0.0
0,11,63.41135544995076,0.0,-0.0005978882524779357,0.0,0.0005978882524779357,0.0
0,12,62.80127387243033,0.0,-0.0006520604352962678,0.0,0.0006520604352962678,0.0
0,13,62.20128616033595,0.0,-0.0007061324614723168,0.0,0.0007061324614723168,0.0
0,14,61.61168720299745,0.0,-0.0007601037898628202,0.0,0.0007601037898628202,0.0
0,15,61.032778078668514,0.0,-0.0008139212355813929,0.0,0.0008139212355813929,0.0
0,16,60.4648658313239,0.0,-0.000867579669648074,0.0,0.000867579669648074,0.0
0,17,59.90826320300064,0.0,-0.0009210138512839019,0.0,0.0009210138512839019,0.0
0,18,59.36328831862332,0.0,-0.0009742129813980711,0.0,0.0009742129813980711,0.0
0,19,58.83026432033091,0.0,-0.0010270989844876047,0.0,0.0010270989844876047,0.0
0,20,58.309518948453004,0.0,-0.0010796544695334384,0.0,0.0010796544695334384,0.0
0,21,57.8013840664737,0.0,-0.0011317879680681718,0.0,0.0011317879680681718,0.0
0,22,57.30619512757761,0.0,-0.00118347480517539,0.0,0.00118347480517539,0.0
0,23,56.824290580701486,0.0,-0.0012346098556311838,0.0,0.0012346098556311838,0.0
0,24,56.356011214421486,0.0,-0.001285160778113478,0.0,0.001285160778113478,0.0
0,25,55.90169943749474,0.0,-0.0013350089034100871,0.0,0.0013350089034100871,0.0
0,26,55.46169849544819,0.0,-0.0013841142362612212,0.0,0.0013841142362612212,0.0
0,27,55.036351623268054,0.0,-0.0014323451376197576,0.0,0.0014323451376197576,0.0
0,28,54.62600113499065,0.0,-0.001479654450309804,0.0,0.001479654450309804,0.0
0,29,54.230987451824994,0.0,-0.0015258986803671228,0.0,0.0015258986803671228,0.0
0,30,53.85164807134504,0.0,-0.0015710245544512192,0.0,0.0015710245544512192,0.0
0,31,53.48831648126533,0.0,-0.0016148784426229083,0.0,0.0016148784426229083,0.0
0,32,53.14132102234569,0.0,-0.00165740260689337,0.0,0.00165740260689337,0.0
0,33,52.81098370604357,0.0,-0.0016984356388973553,0.0,0.0016984356388973553,0.0
0,34,52.49761899362675,0.0,-0.0017379176101099273,0.0,0.0017379176101099273,0.0
0,35,52.20153254455275,0.0,-0.0017756823226601896,0.0,0.0017756823226601896,0.0
0,36,51.92301994298868,0.0,-0.0018116705230948257,0.0,0.0018116705230948257,0.0
0,37,51.66236541235796,0.0,-0.0018457147835531408,0.0,0.0018457147835531408,0.0
0,38,51.419840528729765,0.0,-0.0018777598936335015,0.0,0.0018777598936335015,0.0
0,39,51.19570294468082,0.0,-0.0019076412035099956,0.0,0.0019076412035099956,0.0
0,40,50.99019513592785,0.0,-0.00193531126425725,0.0,0.00193531126425725,0.0
