phi,x,y
0.0,0,0
0.0,0,1
0.0,0,2
0.0,0,3
0.0,0,4
0.0,0,5
0.0,0,6
0.0,0,7
0.0,0,8
0.0,0,9
0.0,0,10
0.0,0,11
0.0,0,12
0.0,0,13
0.0,0,14
0.0,0,15
0.0,0,16
0.0,0,17
0.0,0,18
0.0,0,19
0.0,0,20
0.0,0,21
0.0,0,22
0.0,0,23
0.0,0,24
0.0,0,25
0.0,0,26
0.0,0,27
0.0,0,28
0.0,0,29
0.0,0,30
0.0,0,31
0.0,0,32
0.0,0,33
0.0,0,34
0.0,0,35
0.0,0,36
0.0,0,37
0.0,0,38
0.0,0,39
0.0,0,40
0.0,0,41
0.0,0,42
0.0,0,43
0.0,0,44
0.0,0,45
0.0,0,46
0.0,0,47
0.0,0,48
0.0,0,49
0.0,0,50
0.0,0,51
0.0,0,52
0.0,0,53
0.0,0,54
0.0,0,55
0.0,0,56
0.0,0,57
0.0,0,58
0.0,0,59
0.0,0,60
0.0,0,61
0.0,0,62
0.0,0,63
0.0,0,64
0.0,0,65
0.0,0,66
0.0,0,67
0.0,0,68
0.0,0,69
0.0,0,70
0.0,0,71
0.0,0,72
0.0,0,73
0.0,0,74
0.0,0,75
0.0,0,76
0.0,0,77
0.0,0,78
0.0,0,79
0.0,0,80
0.0,0,81
0.0,0,82
0.0,0,83
0.0,0,84
0.0,0,85
0.0,0,86
0.0,0,87
0.0,0,88
0.0,0,89
0.0,0,90
0.0,0,91
0.0,0,92
0.0,0,93
0.0,0,94
0.0,0,95
0.0,0,96
0.0,0,97
0.0,0,98
0.0,0,99
0.0,1,0
0.0036115124198710397,1,1
0.00735132226814872,1,2
0.010672817609831199,1,3
0.014375970245167338,1,4
0.01727033612466238,1,5
0.02079017479951634,1,6
0.023161470284573837,1,7
0.02638674066424587,1,8
0.0281886466325226,1,9
0.031052978867917247,1,10
0.03228809775471451,1,11
0.034770849347284326,1,12
0.03548220556810807,1,13
0.03760182683349033,1,14
0.03785963169101488,1,15
0.039662222747708246,1,16
0.03954954237179179,1,17
0.04109578368339457,1,18
0.04069619610523765,1,19
0.042049432421694684,1,20
0.041438482729333315,1,21
0.04265577799189568,1,22
0.041896603342224364,1,23
0.04302348898866884,1,24
0.04216586822650725,1,25
0.04323460501833837,1,26
0.0423161343653329,1,27
0.043346744736960215,1,28
0.04239484109182045,1,29
0.043397932028367725,1,30
0.0424317386384535,1,31
0.04341212671870368,1,32
0.04244390903818828,1,33
0.04340417591399696,1,34
0.04244025236888243,1,35
0.04338353732417074,1,36
0.042425072293752704,1,37
0.04335663073198867,1,38
0.04240068537239069,1,39
0.04332801066713712,1,40
0.042369122749515924,1,41
0.04330073407955031,1,42
0.042333046182411856,1,43
0.04327634522306909,1,44
0.04229601463751534,1,45
0.04325484093433337,1,46
0.04226224555571603,1,47
0.043234844857825076,1,48
0.04223602932536596,1,49
0.04321405329581551,1,50
0.0422209747883342,1,51
0.04318986910065128,1,52
0.04221927666360347,1,53
0.04316005454192375,1,54
0.04223118705671005,1,55
0.04312322513882542,1,56
0.042254828522024196,1,57
0.043079059374789674,1,58
0.04228639946766671,1,59
0.04302817713981578,1,60
0.04232070156561817,1,61
0.04297169975306769,1,62
0.0423517843853439,1,63
0.04291051356088573,1,64
0.04237338336815107,1,65
0.04284420559422634,1,66
0.042378751204794896,1,67
0.04276953926879218,1,68
0.04235947202583736,1,69
0.042678236516004414,1,70
0.04230292314932641,1,71
0.04255380365467146,1,72
0.042188237165515056,1,73
0.04236726927948411,1,74
0.04198095153160979,1,75
0.04207206373418814,1,76
0.0416270351570832,1,77
0.04159886696641626,1,78
0.04104761880818738,1,79
0.04085197629655174,1,80
0.04013639124365797,1,81
0.03970935183931408,1,82
0.038761992037806545,1,83
0.03802863621958419,1,84
0.036777492679867074,1,85
0.03566077820718703,1,86
0.03403792682404975,1,87
0.032471263894718196,1,88
0.030424781641129234,1,89
0.028366579993241922,1,90
0.025873786662711253,1,91
0.023321036615089764,1,92
0.020400050199391617,1,93
0.0173973999800443,1,94
0.014113606390299231,1,95
0.010754835158000978,1,96
0.007219525046708,1,97
0.0036398723712191276,1,98
0.0,1,99
0.0,2,0
0.007350938681095605,2,1
0.014282772015256054,2,2
0.021722436847903027,2,3
0.027933107920945333,2,4
0.03514668134990134,2,5
0.040401225314711874,2,6
0.04712889629526717,2,7
0.051284876429589864,2,8
0.057348821475309154,2,9
0.06036397821628061,2,10
0.06567858764308743,2,11
0.06760109550651211,2,12
0.07216668282738455,2,13
0.0731126545787621,2,14
0.0769966859607968,2,15
0.07712189273457597,2,16
0.08043381314780543,2,17
0.07990654889880057,2,18
0.08277233078970159,2,19
0.0817523954283517,2,20
0.0842934718090878,2,21
0.08291940762015534,2,22
0.08523850401067527,2,23
0.08362258699503583,2,24
0.08579691774722926,2,25
0.08402571976636779,2,26
0.08610654009993253,2,27
0.08424435937208273,2,28
0.08626108403656736,2,29
0.08435397212013791,2,30
