x,y,r,E_x,E_y,E_z,E,phi
0,0,70.71067811865476,-0.0,-0.0,-0.0,0.0,0.0
0,1,70.00714249274856,-1.095244783449421e-06,-0.0,-0.0,1.095244783449421e-06,0.0
0,2,69.31089380465383,-2.1898170063528225e-06,-0.0,-0.0,2.1898170063528225e-06,0.0
0,3,68.62215385719105,-3.2835683167068368e-06,-0.0,-0.0,3.2835683167068368e-06,0.0
0,4,67.94115100585212,-4.376342414741285e-06,-0.0,-0.0,4.376342414741285e-06,0.0
0,5,67.26812023536856,-5.467970501634509e-06,-0.0,-0.0,5.467970501634509e-06,0.0
0,6,66.60330322138685,-6.5582666759255375e-06,-0.0,-0.0,6.5582666759255375e-06,0.0
0,7,65.94694837519019,-7.647023264245244e-06,-0.0,-0.0,7.647023264245244e-06,0.0
0,8,65.29931086925804,-8.734006076044232e-06,-0.0,-0.0,8.734006076044232e-06,0.0
0,9,64.66065264130884,-9.8189495758568e-06,-0.0,-0.0,9.8189495758568e-06,0.0
0,10,64.03124237432849,-1.0901551971329989e-05,-0.0,-0.0,1.0901551971329989e-05,0.0
0,11,63.41135544995076,-1.1981470220783617e-05,-0.0,-0.0,1.1981470220783617e-05,0.0
0,12,62.80127387243033,-1.3058314970464957e-05,-0.0,-0.0,1.3058314970464957e-05,0.0
0,13,62.20128616033595,-1.413164543892292e-05,-0.0,-0.0,1.413164543892292e-05,0.0
0,14,61.61168720299745,-1.5200964274037909e-05,-0.0,-0.0,1.5200964274037909e-05,0.0
0,15,61.032778078668514,-1.6265712417170352e-05,-0.0,-0.0,1.6265712417170352e-05,0.0
0,16,60.4648658313239,-1.7325264018570574e-05,-0.0,-0.0,1.7325264018570574e-05,0.0
0,17,59.90826320300064,-1.83789214585272e-05,-0.0,-0.0,1.83789214585272e-05,0.0
0,18,59.36328831862332,-1.942591053958242e-05,-0.0,-0.0,1.942591053958242e-05,0.0
0,19,58.83026432033091,-2.046537592632219e-05,-0.0,-0.0,2.046537592632219e-05,0.0
0,20,58.309518948453004,-2.1496376920516502e-05,-0.0,-0.0,2.1496376920516502e-05,0.0
0,21,57.8013840664737,-2.2517883670438606e-05,-0.0,-0.0,2.2517883670438606e-05,0.0
0,22,57.30619512757761,-2.352877392366828e-05,-0.0,-0.0,2.352877392366828e-05,0.0
0,23,56.824290580701486,-2.4527830442156726e-05,-0.0,-0.0,2.4527830442156726e-05,0.0
0,24,56.356011214421486,-2.5513739206311608e-05,-0.0,-0.0,2.5513739206311608e-05,0.0
0,25,55.90169943749474,-2.6485088540808276e-05,-0.0,-0.0,2.6485088540808276e-05,0.0
0,26,55.46169849544819,-2.7440369298162253e-05,-0.0,-0.0,2.7440369298162253e-05,0.0
0,27,55.036351623268054,-2.837797623619894e-05,-0.0,-0.0,2.837797623619894e-05,0.0
0,28,54.62600113499065,-2.9296210721814603e-05,-0.0,-0.0,2.9296210721814603e-05,0.0
0,29,54.230987451824994,-3.0193284885252338e-05,-0.0,-0.0,3.0193284885252338e-05,0.0
0,30,53.85164807134504,-3.106732733599224e-05,-0.0,-0.0,3.106732733599224e-05,0.0
0,31,53.48831648126533,-3.1916390532852724e-05,-0.0,-0.0,3.1916390532852724e-05,0.0
0,32,53.14132102234569,-3.273845987674472e-05,-0.0,-0.0,3.273845987674472e-05,0.0
0,33,52.81098370604357,-3.353146456462569e-05,-0.0,-0.0,3.353146456462569e-05,0.0
0,34,52.49761899362675,-3.429329020771937e-05,-0.0,-0.0,3.429329020771937e-05,0.0
0,35,52.20153254455275,-3.502179317642677e-05,-0.0,-0.0,3.502179317642677e-05,0.0
0,36,51.92301994298868,-3.571481658928814e-05,-0.0,-0.0,3.571481658928814e-05,0.0
0,37,51.66236541235796,-3.6370207814923784e-05,-0.0,-0.0,3.6370207814923784e-05,0.0
0,38,51.419840528729765,-3.698583730546276e-05,-0.0,-0.0,3.698583730546276e-05,0.0
0,39,51.19570294468082,-3.755961852924764e-05,-0.0,-0.0,3.755961852924764e-05,0.0
0,40,50.99019513592785,-3.808952872151782e-05,-0.0,-0.0,3.808952872151782e-05,0.0
0,41,50.80354318352215,-3.857363012644808e-05,-0.0,-0.0,3.857363012644808e-05,0.0
0,42,50.635955604688654,-3.9010091364566284e-05,-0.0,-0.0,3.9010091364566284e-05,0.0
0,43,50.48762224545735,-3.93972085283844e-05,-0.0,-0.0,3.93972085283844e-05,0.0
0,44,50.35871324805669,-3.9733425588081636e-05,-0.0,-0.0,3.9733425588081636e-05,0.0
0,45,50.24937810560445,-4.001735368001937e-05,-0.0,-0.0,4.001735368001937e-05,0.0
0,46,50.15974481593781,-4.0247788855058e-05,-0.0,-0.0,4.0247788855058e-05,0.0
0,47,50.08991914547278,-4.042372788185587e-05,-0.0,-0.0,4.042372788185587e-05,0.0
0,48,50.039984012787215,-4.054438173269324e-05,-0.0,-0.0,4.054438173269324e-05,0.0
0,49,50.00999900019995,-4.0609186425319975e-05,-0.0,-0.0,4.0609186425319975e-05,0.0
0,50,50.0,-4.061781095261044e-05,-0.0,-0.0,4.061781095261044e-05,0.0
0,51,50.00999900019995,-4.0570162100493035e-05,-0.0,-0.0,4.0570162100493035e-05,0.0
0,52,50.039984012787215,-4.0466386031191546e-05,-0.0,-0.0,4.0466386031191546e-05,0.0
0,53,50.08991914547278,-4.030686659030903e-05,-0.0,-0.0,4.030686659030903e-05,0.0
0,54,50.15974481593781,-4.009222037945297e-05,-0.0,-0.0,4.009222037945297e-05,0.0
0,55,50.24937810560445,-3.982328871759462e-05,-0.0,-0.0,3.982328871759462e-05,0.0
0,56,50.35871324805669,-3.950112669092841e-05,-0.0,-0.0,3.950112669092841e-05,0.0
0,57,50.48762224545735,-3.912698955968429e-05,-0.0,-0.0,3.912698955968429e-05,0.0
0,58,50.635955604688654,-3.8702316848635806e-05,-0.0,-0.0,3.8702316848635806e-05,0.0
0,59,50.80354318352215,-3.822871449400888e-05,-0.0,-0.0,3.822871449400888e-05,0.0
0,60,50.99019513592785,-3.77079354518663e-05,-0.0,-0.0,3.77079354518663e-05,0.0
0,61,51.19570294468082,-3.714185919126198e-05,-0.0,-0.0,3.714185919126198e-05,0.0
0,62,51.419840528729765,-3.653247049966049e-05,-0.0,-0.0,3.653247049966049e-05,0.0
0,63,51.66236541235796,-3.588183801906943e-05,-0.0,-0.0,3.588183801906943e-05,0.0
0,64,51.92301994298868,-3.519209291035126e-05,-0.0,-0.0,3.519209291035126e-05,0.0
0,65,52.20153254455275,-3.446540801200634e-05,-0.0,-0.0,3.446540801200634e-05,0.0
0,66,52.49761899362675,-3.3703977820383575e-05,-0.0,-0.0,3.3703977820383575e-05,0.0
0,67,52.81098370604357,-3.290999957296818e-05,-0.0,-0.0,3.290999957296818e-05,0.0
