omega,t
1.0,912
1.01,898
1.02,886
1.03,873
1.04,861
1.05,848
1.06,834
1.07,822
1.08,810
1.09,797
1.1,785
1.11,774
1.12,763
1.13,751
1.14,741
1.15,729
1.16,718
1.17,706
1.18,696
1.19,684
1.2,674
1.21,663
1.22,653
1.23,642
1.24,633
1.25,622
1.26,612
1.27,602
1.28,592
1.29,583
1.3,573
1.31,563
1.32,553
1.33,544
1.34,534
1.35,525
1.36,516
1.37,507
1.38,497
1.39,489
1.4,480
1.41,471
1.42,462
1.43,453
1.44,444
1.45,436
1.46,427
1.47,419
1.48,410
1.49,402
1.5,394
1.51,385
1.52,377
1.53,369
1.54,361
1.55,353
1.56,345
1.57,337
1.58,329
1.59,321
1.6,313
1.61,305
1.62,297
1.63,289
1.64,282
1.65,274
1.66,266
1.67,258
1.68,251
1.69,243
1.7,236
1.71,228
1.72,220
1.73,213
1.74,205
1.75,197
1.76,190
1.77,182
1.78,175
1.79,167
1.8,159
1.81,152
1.82,144
1.83,136
1.84,128
1.85,120
1.86,120
1.87,129
1.88,140
1.89,148
1.9,149
1.91,154
1.92,165
1.93,175
1.94,194
1.95,233
1.96,295
1.97,359
1.98,525
1.99,1033
