x,y,r,M_x,M_y,M_z,M,phi
0,0,70.71067811865476,0.0,-0.0,0.0,0.0,0.0
0,1,70.00714249274856,0.0,-5.487293852009016e-05,0.0,5.487293852009016e-05,0.0
0,2,69.31089380465383,0.0,-0.0001097448221216787,0.0,0.0001097448221216787,0.0
0,3,68.62215385719105,0.0,-0.00016461481566779683,0.0,0.00016461481566779683,0.0
0,4,67.94115100585212,0.0,-0.0002194814665378304,0.0,0.0002194814665378304,0.0
0,5,67.26812023536856,0.0,-0.00027434239538705064,0.0,0.00027434239538705064,0.0
0,6,66.60330322138685,0.0,-0.0003291939870492216,0.0,0.0003291939870492216,0.0
0,7,65.94694837519019,0.0,-0.0003840310818011358,0.0,0.0003840310818011358,0.0
0,8,65.29931086925804,0.0,-0.0004388466673540528,0.0,0.0004388466673540528,0.0
0,9,64.66065264130884,0.0,-0.0004936315721193309,0.0,0.0004936315721193309,0.0
0,10,64.03124237432849,0.0,-0.0005483741605135676,0.0,0.0005483741605135676,0.0
0,11,63.41135544995076,0.0,-0.0006030600313214253,0.0,0.0006030600313214253,0.0
0,12,62.80127387243033,0.0,-0.0006576717204206472,0.0,0.0006576717204206472,0.0
0,13,62.20128616033595,0.0,-0.0007121884094915137,0.0,0.0007121884094915137,0.0
0,14,61.61168720299745,0.0,-0.0007665856426792166,0.0,0.0007665856426792166,0.0
0,15,61.032778078668514,0.0,-0.0008208350535483769,0.0,0.0008208350535483769,0.0
0,16,60.4648658313239,0.0,-0.0008749041050589524,0.0,0.0008749041050589524,0.0
0,17,59.90826320300064,0.0,-0.0009287558456953525,0.0,0.0009287558456953525,0.0
0,18,59.36328831862332,0.0,-0.0009823486852873554,0.0,0.0009823486852873554,0.0
0,19,58.83026432033091,0.0,-0.0010356361944622024,0.0,0.0010356361944622024,0.0
0,20,58.309518948453004,0.0,-0.0010885669320499036,0.0,0.0010885669320499036,0.0
0,21,57.8013840664737,0.0,-0.001141084305114213,0.0,0.001141084305114213,0.0
0,22,57.30619512757761,0.0,-0.0011931264665838012,0.0,0.0011931264665838012,0.0
0,23,56.824290580701486,0.0,-0.0012446262556939603,0.0,0.0012446262556939603,0.0
0,24,56.356011214421486,0.0,-0.0012955111865991774,0.0,0.0012955111865991774,0.0
0,25,55.90169943749474,0.0,-0.0013457034905604553,0.0,0.0013457034905604553,0.0
0,26,55.46169849544819,0.0,-0.0013951202170271104,0.0,0.0013951202170271104,0.0
0,27,55.036351623268054,0.0,-0.0014436733986998766,0.0,0.0014436733986998766,0.0
0,28,54.62600113499065,0.0,-0.0014912702852606684,0.0,0.0014912702852606684,0.0
0,29,54.230987451824994,0.0,-0.001537813649866736,0.0,0.001537813649866736,0.0
0,30,53.85164807134504,0.0,-0.0015832021717192757,0.0,0.0015832021717192757,0.0
0,31,53.48831648126533,0.0,-0.001627330897019959,0.0,0.001627330897019959,0.0
0,32,53.14132102234569,0.0,-0.0016700917794209428,0.0,0.0016700917794209428,0.0
0,33,52.81098370604357,0.0,-0.0017113742996603125,0.0,0.0017113742996603125,0.0
0,34,52.49761899362675,0.0,-0.0017510661624704205,0.0,0.0017510661624704205,0.0
0,35,52.20153254455275,0.0,-0.0017890540670763427,0.0,0.0017890540670763427,0.0
0,36,51.92301994298868,0.0,-0.0018252245457017892,0.0,0.0018252245457017892,0.0
