x,y,r,M_x,M_y,M_z,M,phi
0,0,70.71067811865476,0.0,-0.0,0.0,0.0,0.0
0,1,70.00714249274856,0.0,-5.439425159030888e-05,0.0,5.439425159030888e-05,0.0
0,2,69.31089380465383,0.0,-0.00010878749714343817,0.0,0.00010878749714343817,0.0
0,3,68.62215385719105,0.0,-0.00016318226259392384,0.0,0.00016318226259392384,0.0
0,4,67.94115100585212,0.0,-0.0002175727747776787,0.0,0.0002175727747776787,0.0
0,5,67.26812023536856,0.0,-0.0002719638410124578,0.0,0.0002719638410124578,0.0
0,6,66.60330322138685,0.0,-0.00032634370156159564,0.0,0.00032634370156159564,0.0
0,7,65.94694837519019,0.0,-0.00038071818002781817,0.0,0.00038071818002781817,0.0
0,8,65.29931086925804,0.0,-0.00043506832833463004,0.0,0.00043506832833463004,0.0
0,9,64.66065264130884,0.0,-0.0004893997106711962,0.0,0.0004893997106711962,0.0
0,10,64.03124237432849,0.0,-0.0005436850125290736,0.0,0.0005436850125290736,0.0
0,11,63.41135544995076,0.0,-0.0005979282616049497,0.0,0.0005979282616049497,0.0
0,12,62.80127387243033,0.0,-0.0006520926348709849,0.0,0.0006520926348709849,0.0
0,13,62.20128616033595,0.0,-0.0007061793618687595,0.0,0.0007061793618687595,0.0
0,14,61.61168720299745,0.0,-0.0007601410258363544,0.0,0.0007601410258363544,0.0
0,15,61.032778078668514,0.0,-0.0008139748383953706,0.0,0.0008139748383953706,0.0
0,16,60.4648658313239,0.0,-0.0008676217920842771,0.0,0.0008676217920842771,0.0
0,17,59.90826320300064,0.0,-0.0009210739406751914,0.0,0.0009210739406751914,0.0
0,18,59.36328831862332,0.0,-0.0009742598206847309,0.0,0.0009742598206847309,0.0
0,19,58.83026432033091,0.0,-0.001027165318496775,0.0,0.001027165318496775,0.0
0,20,58.309518948453004,0.0,-0.0010797058370652492,0.0,0.0010797058370652492,0.0
0,21,57.8013840664737,0.0,-0.0011318602795908808,0.0,0.0011318602795908808,0.0
0,22,57.30619512757761,0.0,-0.0011835304941133998,0.0,0.0011835304941133998,0.0
0,23,56.824290580701486,0.0,-0.0012346878534937233,0.0,0.0012346878534937233,0.0
0,24,56.356011214421486,0.0,-0.0012852205642179563,0.0,0.0012852205642179563,0.0
0,25,55.90169943749474,0.0,-0.001335092273541849,0.0,0.001335092273541849,0.0
0,26,55.46169849544819,0.0,-0.0013841778787945934,0.0,0.0013841778787945934,0.0
0,27,55.036351623268054,0.0,-0.0014324335443178977,0.0,0.0014324335443178977,0.0
0,28,54.62600113499065,0.0,-0.0014797216930060178,0.0,0.0014797216930060178,0.0
0,29,54.230987451824994,0.0,-0.0015259917676483286,0.0,0.0015259917676483286,0.0
0,30,53.85164807134504,0.0,-0.0015710951265476374,0.0,0.0015710951265476374,0.0
0,31,53.48831648126533,0.0,-0.0016149758356568307,0.0,0.0016149758356568307,0.0
0,32,53.14132102234569,0.0,-0.0016574762242210369,0.0,0.0016574762242210369,0.0
0,33,52.81098370604357,0.0,-0.0016985369455159301,0.0,0.0016985369455159301,0.0
