x,y,E_x,E_y,E_z
0,0,-0.0,-0.0,-0.0
0,1,-0.0003596303355290311,-0.0,-0.0
0,2,-0.0007206710795176373,-0.0,-0.0
0,3,-0.001077231174067061,-0.0,-0.0
0,4,-0.001438014805725494,-0.0,-0.0
0,5,-0.001789875496479269,-0.0,-0.0
0,6,-0.002148749832125319,-0.0,-0.0
0,7,-0.0024943350301582195,-0.0,-0.0
0,8,-0.002849685761579308,-0.0,-0.0
0,9,-0.0031874937602478343,-0.0,-0.0
0,10,-0.0035377659943186188,-0.0,-0.0
0,11,-0.003866389194672599,-0.0,-0.0
0,12,-0.004210107517692471,-0.0,-0.0
0,13,-0.004528250130512682,-0.0,-0.0
0,14,-0.004864036770321192,-0.0,-0.0
0,15,-0.005170530114778604,-0.0,-0.0
0,16,-0.005497120835570379,-0.0,-0.0
0,17,-0.0057909359261237815,-0.0,-0.0
0,18,-0.006107193362431874,-0.0,-0.0
0,19,-0.006387450555627759,-0.0,-0.0
0,20,-0.006692374770263065,-0.0,-0.0
0,21,-0.006958350328470475,-0.0,-0.0
0,22,-0.00725108646119891,-0.0,-0.0
0,23,-0.007502215977746543,-0.0,-0.0
0,24,-0.007782058934022077,-0.0,-0.0
0,25,-0.008017937650450023,-0.0,-0.0
0,26,-0.00828433385957535,-0.0,-0.0
0,27,-0.00850471398766213,-0.0,-0.0
0,28,-0.008757260334535236,-0.0,-0.0
0,29,-0.008962045570590561,-0.0,-0.0
0,30,-0.009200485672286289,-0.0,-0.0
0,31,-0.00938972315649213,-0.0,-0.0
0,32,-0.00961394121234329,-0.0,-0.0
0,33,-0.009787811239757692,-0.0,-0.0
0,34,-0.009997823729875368,-0.0,-0.0
0,35,-0.010156627560724737,-0.0,-0.0
0,36,-0.010352573102118305,-0.0,-0.0
0,37,-0.01049671924643119,-0.0,-0.0
0,38,-0.010678846937701417,-0.0,-0.0
0,39,-0.010808836303018612,-0.0,-0.0
0,40,-0.010977492898187882,-0.0,-0.0
0,41,-0.01109390318943593,-0.0,-0.0
0,42,-0.01124951943953007,-0.0,-0.0
0,43,-0.01135298918810927,-0.0,-0.0
0,44,-0.011496065676728425,-0.0,-0.0
0,45,-0.011587278252837967,-0.0,-0.0
0,46,-0.011718371030612596,-0.0,-0.0
0,47,-0.011798038960572578,-0.0,-0.0
0,48,-0.011917745254817315,-0.0,-0.0
0,49,-0.0119865951256717,-0.0,-0.0
0,50,-0.012095539367610354,-0.0,-0.0
0,51,-0.012154297556783803,-0.0,-0.0
0,52,-0.01225311793137624,-0.0,-0.0
0,53,-0.012302497351839045,-0.0,-0.0
0,54,-0.012391833036424785,-0.0,-0.0
0,55,-0.01243252103987104,-0.0,-0.0
0,56,-0.01251300025937851,-0.0,-0.0
0,57,-0.012545647793379073,-0.0,-0.0
0,58,-0.012617876783379842,-0.0,-0.0
0,59,-0.012643088855148752,-0.0,-0.0
0,60,-0.012707641790974458,-0.0,-0.0
0,61,-0.012725969251818153,-0.0,-0.0
0,62,-0.012783379173437685,-0.0,-0.0
0,63,-0.012795311805342498,-0.0,-0.0
0,64,-0.012846062544545947,-0.0,-0.0
0,65,-0.012852023404544027,-0.0,-0.0
0,66,-0.01289654250370441,-0.0,-0.0
0,67,-0.012896883463110709,-0.0,-0.0
0,68,-0.012935536063579625,-0.0,-0.0
0,69,-0.012930534468011012,-0.0,-0.0
0,70,-0.012963618140923864,-0.0,-0.0
0,71,-0.012953474512939557,-0.0,-0.0
0,72,-0.012981215005443645,-0.0,-0.0
0,73,-0.012966051714100021,-0.0,-0.0
0,74,-0.01298859958909876,-0.0,-0.0
0,75,-0.012968460418820507,-0.0,-0.0
0,76,-0.012985888575349906,-0.0,-0.0
0,77,-0.012960739139171786,-0.0,-0.0
0,78,-0.012973041212413603,-0.0,-0.0
0,79,-0.012942770170545128,-0.0,-0.0
0,80,-0.012949859824024799,-0.0,-0.0
0,81,-0.01291428088640885,-0.0,-0.0
0,82,-0.012915992022836366,-0.0,-0.0
0,83,-0.012874846732422259,-0.0,-0.0
0,84,-0.012870934662595026,-0.0,-0.0
0,85,-0.012823895972934698,-0.0,-0.0
0,86,-0.012814039592845898,-0.0,-0.0
0,87,-0.012760716267918333,-0.0,-0.0
0,88,-0.012744521301498857,-0.0,-0.0
0,89,-0.0126844631760641,-0.0,-0.0
0,90,-0.012661466543762151,-0.0,-0.0
0,91,-0.012594170687914368,-0.0,-0.0
0,92,-0.012563846058702524,-0.0,-0.0
0,93,-0.012488763889734881,-0.0,-0.0
0,94,-0.01245052846547865,-0.0,-0.0
0,95,-0.0123670738430728,-0.0,-0.0
0,96,-0.01232029640911767,-0.0,-0.0
0,97,-0.01222785473592268,-0.0,-0.0
0,98,-0.012171864990180234,-0.0,-0.0
0,99,-0.012069803319086652,-0.0,-0.0
0,100,-0.012003902464072258,-0.0,-0.0
0,101,-0.01189158058630878,-0.0,-0.0
0,102,-0.011815053135085588,-0.0,-0.0
0,103,-0.011691835590419622,-0.0,-0.0
0,104,-0.01160396229915276,-0.0,-0.0
0,105,-0.011469231212057215,-0.0,-0.0
0,106,-0.011369303010112429,-0.0,-0.0
0,107,-0.01122247161518297,-0.0,-0.0
0,108,-0.011109804359935466,-0.0,-0.0
0,109,-0.010950331037791953,-0.0,-0.0
0,110,-0.010824280877304493,-0.0,-0.0
0,111,-0.010651683480589515,-0.0,-0.0
0,112,-0.010511662565011867,-0.0,-0.0
0,113,-0.010325532774950762,-0.0,-0.0
0,114,-0.01017102501892573,-0.0,-0.0
0,115,-0.009971042438335935,-0.0,-0.0
0,116,-0.009801619003925854,-0.0,-0.0
0,117,-0.009587564664617389,-0.0,-0.0
0,118,-0.009402898809264213,-0.0,-0.0
0,119,-0.0091746677523779,-0.0,-0.0
0,120,-0.008974548670974233,-0.0,-0.0
0,121,-0.008732161249637167,-0.0,-0.0
0,122,-0.00851650653543071,-0.0,-0.0
0,123,-0.008260118091509267,-0.0,-0.0
0,124,-0.008028984448431895,-0.0,-0.0
0,125,-0.0077588930300442815,-0.0,-0.0
0,126,-0.007512484889839675,-0.0,-0.0
0,127,-0.007229136704068076,-0.0,-0.0
0,128,-0.006967812435460318,-0.0,-0.0
0,129,-0.006671804771242751,-0.0,-0.0
0,130,-0.006396080214955007,-0.0,-0.0
0,131,-0.006088161623728355,-0.0,-0.0
0,132,-0.005798710745461709,-0.0,-0.0
0,133,-0.00547977833048335,-0.0,-0.0
0,134,-0.005177430852473008,-0.0,-0.0
0,135,-0.004848524590037152,-0.0,-0.0
0,136,-0.0045342605384660895,-0.0,-0.0
0,137,-0.004196554633134813,-0.0,-0.0
0,138,-0.003871495821001613,-0.0,-0.0
0,139,-0.003526287179774107,-0.0,-0.0
0,140,-0.003191685729926099,-0.0,-0.0
0,141,-0.002840379723971224,-0.0,-0.0
0,142,-0.0024976038218355204,-0.0,-0.0
0,143,-0.002141697585855571,-0.0,-0.0
0,144,-0.0017922147327410233,-0.0,-0.0
0,145,-0.0014332783280504822,-0.0,-0.0
0,146,-0.0010786364406130775,-0.0,-0.0
0,147,-0.0007182922755738576,-0.0,-0.0
0,148,-0.0003600990421937721,-0.0,-0.0
0,149,-0.0,-0.0,-0.0
1,0,-0.0,-0.0003596303355290311,-0.0
1,1,-0.0003603353375258944,-0.0003603355397588186,3.150162780643181e-08
1,2,-0.0007184301525880715,-0.00035880041926901495,1.0055258719399553e-07
1,3,-0.0010793404128319345,-0.00035867186310392836,9.438816991479311e-08
