x,y,E_x,E_y,E_z
0,0,-0.0,-0.0,-0.0
0,1,-9.908325880515148e-06,-0.0,-0.0
0,2,-1.9833010720070463e-05,-0.0,-0.0
0,3,-2.980828691166744e-05,-0.0,-0.0
0,4,-3.9827656019651616e-05,-0.0,-0.0
0,5,-4.993785802287741e-05,-0.0,-0.0
0,6,-6.010467354480815e-05,-0.0,-0.0
0,7,-7.038139414905281e-05,-0.0,-0.0
0,8,-8.070121545531238e-05,-0.0,-0.0
0,9,-9.11174781903926e-05,-0.0,-0.0
0,10,-0.00010152615484355398,-0.0,-0.0
0,11,-0.00011197409461613945,-0.0,-0.0
0,12,-0.00012231641766102404,-0.0,-0.0
0,13,-0.00013258806113672144,-0.0,-0.0
0,14,-0.00014260214452071197,-0.0,-0.0
0,15,-0.00015237923584141087,-0.0,-0.0
0,16,-0.00016169383129672438,-0.0,-0.0
0,17,-0.00017055483768055045,-0.0,-0.0
0,18,-0.00017870806098511786,-0.0,-0.0
0,19,-0.0001861602992660867,-0.0,-0.0
0,20,-0.00019264601587197687,-0.0,-0.0
0,21,-0.00019818610170435215,-0.0,-0.0
0,22,-0.00020252674214369716,-0.0,-0.0
0,23,-0.0002057225277826459,-0.0,-0.0
0,24,-0.00020755523821429397,-0.0,-0.0
0,25,-0.00020813004563323943,-0.0,-0.0
0,26,-0.0002072820821154149,-0.0,-0.0
0,27,-0.0002051745170112513,-0.0,-0.0
0,28,-0.00020170168633042306,-0.0,-0.0
0,29,-0.00019707888297911363,-0.0,-0.0
0,30,-0.00019125219090343885,-0.0,-0.0
0,31,-0.00018447126831779722,-0.0,-0.0
0,32,-0.00017671701080440613,-0.0,-0.0
0,33,-0.00016824959610141376,-0.0,-0.0
0,34,-0.00015906506187804689,-0.0,-0.0
0,35,-0.0001494110988702994,-0.0,-0.0
0,36,-0.00013928262205101452,-0.0,-0.0
0,37,-0.00012889758503343134,-0.0,-0.0
0,38,-0.00011824017495544666,-0.0,-0.0
0,39,-0.00010748882279273306,-0.0,-0.0
0,40,-9.661425332716093e-05,-0.0,-0.0
0,41,-8.575221050592911e-05,-0.0,-0.0
0,42,-7.486243425558886e-05,-0.0,-0.0
0,43,-6.403942915088327e-05,-0.0,-0.0
0,44,-5.323746553244652e-05,-0.0,-0.0
0,45,-4.251385006838143e-05,-0.0,-0.0
0,46,-3.182412623153487e-05,-0.0,-0.0
0,47,-2.1193596651802612e-05,-0.0,-0.0
0,48,-1.0585924529021543e-05,-0.0,-0.0
0,49,-0.0,-0.0,-0.0
1,0,-0.0,-9.908325880515148e-06,-0.0
1,1,-9.916505369378825e-06,-9.916505360035231e-06,8.422997583691341e-09
1,2,-1.985975343553818e-05,-9.949980515576144e-06,1.682766766561128e-08
1,3,-2.9836135518889788e-05,-9.997322649790577e-06,2.5157217552392865e-08
1,4,-3.988762359321231e-05,-1.0064785555604986e-05,3.343124233968055e-08
1,5,-4.999537378837083e-05,-1.0138508762578267e-05,4.155459913378706e-08
1,6,-6.02109403011422e-05,-1.0221768063087698e-05,4.9583720256923456e-08
1,7,-7.048535430054347e-05,-1.0298270955252113e-05,5.738598641021579e-08
1,8,-8.087344302836678e-05,-1.0368042020669896e-05,6.505315418211941e-08
1,9,-9.129121359407917e-05,-1.0412469694120804e-05,7.241683518420988e-08
1,10,-0.00010179001611903967,-1.0428308212873425e-05,7.960227233789482e-08
1,11,-0.00011224638160436971,-1.0395131408735027e-05,8.640788526120997e-08
1,12,-0.00012270179155768042,-1.0306983260290997e-05,9.2990318498293e-08
1,13,-0.00013299041593297888,-1.0142863429843965e-05,9.911823441807884e-08
